date,product_category,avg_price,price_min,price_max,total_sellers,avg_sold_per_seller,estimated_total_volume,estimated_market_revenue,seasonal_factor,price_competitiveness,platform,market_trend
2023-01-29,bánh sinh nhật,474000.0,138000.0,811000.0,292,161,47154,22363178680,1.2,0.76,ecommerce_simulation,growing
2023-01-29,bánh mì sandwich,16000.0,8000.0,24000.0,193,251,48349,796834541,1.0,0.8,ecommerce_simulation,stable
2023-01-29,bánh quy handmade,77000.0,27000.0,128000.0,188,121,22757,1759475453,1.3,0.84,ecommerce_simulation,growing
2023-01-29,bánh tart,94000.0,46000.0,143000.0,279,88,24605,2321456210,1.1,0.88,ecommerce_simulation,growing
2023-01-29,bánh donut,30000.0,16000.0,45000.0,141,171,24093,733791438,1.0,0.85,ecommerce_simulation,stable
2023-01-29,mix bánh,191000.0,74000.0,308000.0,83,71,5862,1119712093,1.2,0.8,ecommerce_simulation,growing
2023-02-05,bánh sinh nhật,460000.0,138000.0,782000.0,149,286,42541,19567247012,1.4,0.94,ecommerce_simulation,growing
2023-02-05,bánh mì sandwich,18000.0,9000.0,26000.0,117,259,30349,533476272,1.0,0.89,ecommerce_simulation,stable
2023-02-05,bánh quy handmade,78000.0,33000.0,123000.0,166,114,19004,1483663587,1.2,0.83,ecommerce_simulation,growing
2023-02-05,bánh tart,98000.0,44000.0,152000.0,281,93,26099,2562947229,1.3,0.67,ecommerce_simulation,growing
2023-02-05,bánh donut,34000.0,14000.0,54000.0,137,270,36922,1263635424,1.1,0.81,ecommerce_simulation,growing
2023-02-05,mix bánh,181000.0,76000.0,285000.0,89,45,4028,728528590,1.3,0.81,ecommerce_simulation,growing
2023-02-12,bánh sinh nhật,511000.0,160000.0,863000.0,250,263,65648,33570129306,1.4,0.77,ecommerce_simulation,growing
2023-02-12,bánh mì sandwich,17000.0,8000.0,26000.0,96,280,26863,453859554,1.0,0.74,ecommerce_simulation,stable
2023-02-12,bánh quy handmade,74000.0,33000.0,115000.0,210,123,25801,1908520772,1.2,0.95,ecommerce_simulation,growing
2023-02-12,bánh tart,98000.0,46000.0,150000.0,82,71,5842,570356274,1.3,0.79,ecommerce_simulation,growing
2023-02-12,bánh donut,33000.0,16000.0,50000.0,51,173,8809,287939527,1.1,0.7,ecommerce_simulation,growing
2023-02-12,mix bánh,179000.0,80000.0,278000.0,56,65,3664,656257350,1.3,0.98,ecommerce_simulation,growing
2023-02-19,bánh sinh nhật,501000.0,157000.0,845000.0,197,205,40456,20261799033,1.4,0.87,ecommerce_simulation,growing
2023-02-19,bánh mì sandwich,16000.0,8000.0,23000.0,80,320,25589,400043527,1.0,0.88,ecommerce_simulation,stable
2023-02-19,bánh quy handmade,78000.0,33000.0,123000.0,155,84,13085,1015349585,1.2,0.96,ecommerce_simulation,growing
2023-02-19,bánh tart,103000.0,42000.0,163000.0,274,107,29455,3020515054,1.3,0.63,ecommerce_simulation,growing
2023-02-19,bánh donut,32000.0,16000.0,48000.0,143,163,23281,741607906,1.1,0.89,ecommerce_simulation,growing
2023-02-19,mix bánh,189000.0,72000.0,306000.0,208,69,14309,2708675960,1.3,0.98,ecommerce_simulation,growing
2023-02-26,bánh sinh nhật,484000.0,159000.0,810000.0,182,238,43292,20962492627,1.4,0.93,ecommerce_simulation,growing
2023-02-26,bánh mì sandwich,18000.0,9000.0,26000.0,62,294,18209,321213425,1.0,0.82,ecommerce_simulation,stable
2023-02-26,bánh quy handmade,72000.0,33000.0,111000.0,119,122,14499,1042497550,1.2,0.85,ecommerce_simulation,growing
2023-02-26,bánh tart,99000.0,49000.0,150000.0,226,103,23327,2312891999,1.3,0.74,ecommerce_simulation,growing
2023-02-26,bánh donut,32000.0,14000.0,50000.0,104,262,27245,878298930,1.1,0.96,ecommerce_simulation,growing
2023-02-26,mix bánh,198000.0,86000.0,311000.0,198,63,12484,2474510111,1.3,0.94,ecommerce_simulation,growing
2023-03-05,bánh sinh nhật,487000.0,147000.0,827000.0,259,145,37566,18289408056,1.1,0.62,ecommerce_simulation,growing
2023-03-05,bánh mì sandwich,17000.0,8000.0,26000.0,244,236,57503,983208122,1.0,0.73,ecommerce_simulation,stable
2023-03-05,bánh quy handmade,72000.0,31000.0,112000.0,228,82,18711,1337911751,1.0,0.99,ecommerce_simulation,stable
2023-03-05,bánh tart,104000.0,42000.0,166000.0,252,71,17962,1862533657,1.2,0.99,ecommerce_simulation,growing
2023-03-05,bánh donut,34000.0,15000.0,52000.0,116,149,17261,580654980,1.0,0.8,ecommerce_simulation,stable
2023-03-05,mix bánh,202000.0,81000.0,323000.0,67,59,3943,795795306,1.0,0.64,ecommerce_simulation,stable
2023-03-12,bánh sinh nhật,477000.0,145000.0,809000.0,202,182,36738,17512728053,1.1,0.8,ecommerce_simulation,growing
2023-03-12,bánh mì sandwich,17000.0,9000.0,25000.0,164,341,55862,947241542,1.0,0.97,ecommerce_simulation,stable
2023-03-12,bánh quy handmade,76000.0,28000.0,124000.0,258,82,21244,1608604248,1.0,0.68,ecommerce_simulation,stable
2023-03-12,bánh tart,96000.0,44000.0,148000.0,236,64,15186,1461220484,1.2,0.66,ecommerce_simulation,growing
2023-03-12,bánh donut,30000.0,15000.0,46000.0,145,245,35515,1080125914,1.0,0.85,ecommerce_simulation,stable
2023-03-12,mix bánh,178000.0,78000.0,278000.0,197,35,6938,1232587372,1.0,0.82,ecommerce_simulation,stable
2023-03-19,bánh sinh nhật,477000.0,151000.0,803000.0,211,168,35442,16899559107,1.1,0.79,ecommerce_simulation,growing
2023-03-19,bánh mì sandwich,18000.0,8000.0,27000.0,197,366,72062,1272917006,1.0,0.8,ecommerce_simulation,stable
2023-03-19,bánh quy handmade,80000.0,32000.0,127000.0,253,81,20378,1620248267,1.0,0.73,ecommerce_simulation,stable
2023-03-19,bánh tart,102000.0,41000.0,163000.0,126,80,10140,1037822671,1.2,0.6,ecommerce_simulation,growing
2023-03-19,bánh donut,33000.0,14000.0,53000.0,220,178,39129,1309217716,1.0,0.95,ecommerce_simulation,stable
2023-03-19,mix bánh,189000.0,82000.0,296000.0,216,56,12001,2267555121,1.0,0.87,ecommerce_simulation,stable
2023-03-26,bánh sinh nhật,511000.0,159000.0,862000.0,66,165,10880,5556484063,1.1,0.88,ecommerce_simulation,growing
2023-03-26,bánh mì sandwich,17000.0,8000.0,26000.0,162,294,47675,815190707,1.0,0.69,ecommerce_simulation,stable
2023-03-26,bánh quy handmade,77000.0,28000.0,125000.0,254,85,21617,1655184665,1.0,0.98,ecommerce_simulation,stable
2023-03-26,bánh tart,98000.0,45000.0,152000.0,146,88,12807,1257858973,1.2,0.67,ecommerce_simulation,growing
2023-03-26,bánh donut,31000.0,16000.0,46000.0,278,224,62264,1944506756,1.0,0.69,ecommerce_simulation,stable
2023-03-26,mix bánh,197000.0,75000.0,320000.0,78,40,3125,617122514,1.0,0.88,ecommerce_simulation,stable
2023-04-02,bánh sinh nhật,490000.0,156000.0,824000.0,207,126,26092,12792764981,1.0,0.96,ecommerce_simulation,stable
2023-04-02,bánh mì sandwich,18000.0,8000.0,28000.0,139,231,32176,576172501,1.0,0.8,ecommerce_simulation,stable
2023-04-02,bánh quy handmade,78000.0,30000.0,126000.0,139,61,8500,663555313,1.0,0.71,ecommerce_simulation,stable
2023-04-02,bánh tart,99000.0,42000.0,156000.0,283,92,26069,2583473281,1.0,0.93,ecommerce_simulation,stable
2023-04-02,bánh donut,35000.0,16000.0,54000.0,79,158,12478,435620441,1.0,0.87,ecommerce_simulation,stable
2023-04-02,mix bánh,193000.0,87000.0,299000.0,240,42,9982,1925282102,1.0,0.72,ecommerce_simulation,stable
2023-04-09,bánh sinh nhật,444000.0,156000.0,732000.0,300,209,62566,27784694170,1.0,0.81,ecommerce_simulation,stable
2023-04-09,bánh mì sandwich,16000.0,8000.0,25000.0,183,214,39178,629889950,1.0,0.76,ecommerce_simulation,stable
2023-04-09,bánh quy handmade,79000.0,28000.0,131000.0,259,64,16629,1317820650,1.0,0.63,ecommerce_simulation,stable
2023-04-09,bánh tart,97000.0,47000.0,146000.0,182,77,14037,1354973564,1.0,0.71,ecommerce_simulation,stable
2023-04-09,bánh donut,30000.0,15000.0,46000.0,171,188,32093,976699371,1.0,0.73,ecommerce_simulation,stable
2023-04-09,mix bánh,198000.0,78000.0,318000.0,67,34,2298,454286750,1.0,0.92,ecommerce_simulation,stable
2023-04-16,bánh sinh nhật,470000.0,141000.0,798000.0,71,186,13235,6214778066,1.0,0.67,ecommerce_simulation,stable
2023-04-16,bánh mì sandwich,17000.0,7000.0,26000.0,59,248,14613,241981331,1.0,0.81,ecommerce_simulation,stable
2023-04-16,bánh quy handmade,80000.0,28000.0,132000.0,157,105,16486,1320584416,1.0,0.67,ecommerce_simulation,stable
2023-04-16,bánh tart,101000.0,47000.0,154000.0,197,56,11127,1121237732,1.0,0.85,ecommerce_simulation,stable
2023-04-16,bánh donut,35000.0,16000.0,54000.0,207,166,34415,1211408976,1.0,0.73,ecommerce_simulation,stable
2023-04-16,mix bánh,192000.0,86000.0,297000.0,224,52,11717,2247544203,1.0,0.63,ecommerce_simulation,stable
2023-04-23,bánh sinh nhật,484000.0,163000.0,806000.0,50,192,9590,4645618394,1.0,0.73,ecommerce_simulation,stable
2023-04-23,bánh mì sandwich,17000.0,8000.0,26000.0,111,319,35417,601318986,1.0,0.61,ecommerce_simulation,stable
2023-04-23,bánh quy handmade,73000.0,30000.0,115000.0,265,66,17469,1270180308,1.0,0.71,ecommerce_simulation,stable
2023-04-23,bánh tart,104000.0,48000.0,161000.0,143,54,7737,805301420,1.0,0.91,ecommerce_simulation,stable
2023-04-23,bánh donut,33000.0,14000.0,51000.0,166,164,27195,884608866,1.0,0.85,ecommerce_simulation,stable
2023-04-23,mix bánh,196000.0,83000.0,309000.0,66,35,2284,447332083,1.0,0.98,ecommerce_simulation,stable
2023-04-30,bánh sinh nhật,465000.0,142000.0,788000.0,219,180,39351,18284952854,1.0,1.0,ecommerce_simulation,stable
2023-04-30,bánh mì sandwich,17000.0,9000.0,26000.0,220,231,50763,870225183,1.0,0.64,ecommerce_simulation,stable
2023-04-30,bánh quy handmade,75000.0,31000.0,120000.0,264,74,19444,1467379335,1.0,0.95,ecommerce_simulation,stable
2023-04-30,bánh tart,98000.0,41000.0,154000.0,300,95,28372,2773039520,1.0,0.82,ecommerce_simulation,stable
2023-04-30,bánh donut,32000.0,15000.0,48000.0,178,161,28669,916193647,1.0,0.65,ecommerce_simulation,stable
2023-04-30,mix bánh,176000.0,79000.0,273000.0,286,36,10365,1820864259,1.0,0.81,ecommerce_simulation,stable
2023-05-07,bánh sinh nhật,502000.0,155000.0,849000.0,194,157,30519,15322089545,1.1,0.61,ecommerce_simulation,growing
2023-05-07,bánh mì sandwich,16000.0,8000.0,25000.0,145,221,31998,521992982,1.0,0.71,ecommerce_simulation,stable
2023-05-07,bánh quy handmade,74000.0,28000.0,121000.0,102,75,7661,568975166,1.0,0.92,ecommerce_simulation,stable
2023-05-07,bánh tart,94000.0,42000.0,146000.0,145,96,13891,1304927109,1.0,0.66,ecommerce_simulation,stable
2023-05-07,bánh donut,30000.0,14000.0,46000.0,225,185,41597,1263380158,1.0,0.91,ecommerce_simulation,stable
2023-05-07,mix bánh,185000.0,74000.0,297000.0,96,42,4030,746623404,1.0,0.86,ecommerce_simulation,stable
2023-05-14,bánh sinh nhật,482000.0,163000.0,800000.0,234,149,34916,16815143349,1.1,0.87,ecommerce_simulation,growing
2023-05-14,bánh mì sandwich,16000.0,8000.0,23000.0,77,349,26906,422498316,1.0,0.93,ecommerce_simulation,stable
2023-05-14,bánh quy handmade,78000.0,28000.0,128000.0,149,96,14261,1111947960,1.0,0.6,ecommerce_simulation,stable
2023-05-14,bánh tart,98000.0,41000.0,154000.0,72,53,3793,370245469,1.0,0.6,ecommerce_simulation,stable
2023-05-14,bánh donut,30000.0,14000.0,46000.0,175,164,28700,854394823,1.0,0.98,ecommerce_simulation,stable
2023-05-14,mix bánh,189000.0,81000.0,297000.0,224,51,11419,2160696600,1.0,0.85,ecommerce_simulation,stable
2023-05-21,bánh sinh nhật,518000.0,162000.0,873000.0,116,193,22419,11602595868,1.1,0.67,ecommerce_simulation,growing
2023-05-21,bánh mì sandwich,17000.0,7000.0,27000.0,66,237,15646,267731197,1.0,0.75,ecommerce_simulation,stable
2023-05-21,bánh quy handmade,72000.0,33000.0,111000.0,178,94,16731,1200456027,1.0,0.78,ecommerce_simulation,stable
2023-05-21,bánh tart,94000.0,46000.0,142000.0,137,85,11602,1088929615,1.0,0.87,ecommerce_simulation,stable
2023-05-21,bánh donut,32000.0,15000.0,48000.0,206,228,47043,1494008481,1.0,0.9,ecommerce_simulation,stable
2023-05-21,mix bánh,184000.0,83000.0,286000.0,202,46,9365,1724537247,1.0,0.74,ecommerce_simulation,stable
2023-05-28,bánh sinh nhật,459000.0,137000.0,780000.0,223,155,34542,15848232132,1.1,0.98,ecommerce_simulation,growing
2023-05-28,bánh mì sandwich,16000.0,8000.0,25000.0,144,382,54941,883484165,1.0,0.79,ecommerce_simulation,stable
2023-05-28,bánh quy handmade,71000.0,32000.0,109000.0,116,74,8565,606600978,1.0,0.64,ecommerce_simulation,stable
2023-05-28,bánh tart,103000.0,48000.0,158000.0,107,95,10121,1042661077,1.0,0.98,ecommerce_simulation,stable
2023-05-28,bánh donut,32000.0,15000.0,49000.0,171,186,31874,1026206909,1.0,0.85,ecommerce_simulation,stable
2023-05-28,mix bánh,201000.0,77000.0,325000.0,265,35,9244,1859563119,1.0,0.94,ecommerce_simulation,stable
2023-06-04,bánh sinh nhật,478000.0,160000.0,797000.0,108,199,21473,10270420337,1.0,0.99,ecommerce_simulation,stable
2023-06-04,bánh mì sandwich,16000.0,8000.0,25000.0,90,282,25362,414625301,1.1,0.73,ecommerce_simulation,growing
2023-06-04,bánh quy handmade,73000.0,30000.0,117000.0,271,56,15072,1102546185,0.9,0.95,ecommerce_simulation,stable
2023-06-04,bánh tart,94000.0,50000.0,138000.0,90,72,6443,605655779,1.0,0.69,ecommerce_simulation,stable
2023-06-04,bánh donut,32000.0,16000.0,48000.0,101,168,16949,535484395,1.1,0.91,ecommerce_simulation,growing
2023-06-04,mix bánh,185000.0,84000.0,287000.0,116,46,5393,999671726,1.0,0.92,ecommerce_simulation,stable
2023-06-11,bánh sinh nhật,484000.0,155000.0,814000.0,164,151,24775,12001480847,1.0,0.66,ecommerce_simulation,stable
2023-06-11,bánh mì sandwich,16000.0,8000.0,24000.0,202,330,66613,1093472772,1.1,0.68,ecommerce_simulation,growing
2023-06-11,bánh quy handmade,80000.0,27000.0,133000.0,155,61,9493,761654643,0.9,0.91,ecommerce_simulation,stable
2023-06-11,bánh tart,95000.0,50000.0,139000.0,221,69,15157,1435806358,1.0,0.68,ecommerce_simulation,stable
2023-06-11,bánh donut,32000.0,14000.0,51000.0,252,156,39198,1264899976,1.1,0.79,ecommerce_simulation,growing
2023-06-11,mix bánh,186000.0,78000.0,295000.0,99,59,5888,1096761894,1.0,0.83,ecommerce_simulation,stable
2023-06-18,bánh sinh nhật,526000.0,166000.0,885000.0,291,226,65889,34630918331,1.0,0.72,ecommerce_simulation,stable
2023-06-18,bánh mì sandwich,17000.0,9000.0,25000.0,131,383,50195,841537094,1.1,0.79,ecommerce_simulation,growing
2023-06-18,bánh quy handmade,70000.0,30000.0,111000.0,95,62,5854,412552443,0.9,0.91,ecommerce_simulation,stable
2023-06-18,bánh tart,103000.0,45000.0,162000.0,191,65,12491,1290185825,1.0,0.62,ecommerce_simulation,stable
2023-06-18,bánh donut,33000.0,16000.0,49000.0,172,214,36786,1208621686,1.1,0.85,ecommerce_simulation,growing
2023-06-18,mix bánh,195000.0,81000.0,310000.0,54,37,2016,393634310,1.0,0.87,ecommerce_simulation,stable
2023-06-25,bánh sinh nhật,484000.0,137000.0,831000.0,214,162,34685,16790815738,1.0,0.7,ecommerce_simulation,stable
2023-06-25,bánh mì sandwich,18000.0,8000.0,27000.0,220,273,60123,1056425029,1.1,0.88,ecommerce_simulation,growing
2023-06-25,bánh quy handmade,75000.0,28000.0,121000.0,281,98,27436,2052521223,0.9,0.81,ecommerce_simulation,stable
2023-06-25,bánh tart,105000.0,44000.0,167000.0,272,68,18612,1958369905,1.0,0.9,ecommerce_simulation,stable
2023-06-25,bánh donut,31000.0,15000.0,46000.0,233,209,48628,1485675287,1.1,0.65,ecommerce_simulation,growing
2023-06-25,mix bánh,185000.0,78000.0,291000.0,299,46,13658,2522345495,1.0,0.84,ecommerce_simulation,stable
2023-07-02,bánh sinh nhật,509000.0,146000.0,873000.0,279,141,39340,20039311706,0.9,0.78,ecommerce_simulation,stable
2023-07-02,bánh mì sandwich,17000.0,8000.0,25000.0,294,413,121560,2006360214,1.2,0.71,ecommerce_simulation,growing
2023-07-02,bánh quy handmade,75000.0,29000.0,122000.0,293,65,19173,1447301000,0.9,0.94,ecommerce_simulation,stable
2023-07-02,bánh tart,97000.0,49000.0,144000.0,146,94,13666,1320846163,1.0,0.64,ecommerce_simulation,stable
2023-07-02,bánh donut,35000.0,16000.0,55000.0,51,172,8758,309459765,1.2,0.8,ecommerce_simulation,growing
2023-07-02,mix bánh,202000.0,74000.0,330000.0,91,53,4839,976223937,1.0,0.88,ecommerce_simulation,stable
2023-07-09,bánh sinh nhật,468000.0,160000.0,776000.0,120,184,22112,10350071146,0.9,0.62,ecommerce_simulation,stable
2023-07-09,bánh mì sandwich,16000.0,8000.0,23000.0,260,440,114457,1798146536,1.2,0.72,ecommerce_simulation,growing
2023-07-09,bánh quy handmade,80000.0,32000.0,128000.0,136,66,8979,718394204,0.9,0.62,ecommerce_simulation,stable
2023-07-09,bánh tart,102000.0,48000.0,156000.0,182,57,10426,1061834355,1.0,0.67,ecommerce_simulation,stable
2023-07-09,bánh donut,34000.0,15000.0,52000.0,81,233,18860,637741278,1.2,0.98,ecommerce_simulation,growing
2023-07-09,mix bánh,190000.0,80000.0,301000.0,212,40,8473,1613169530,1.0,0.94,ecommerce_simulation,stable
2023-07-16,bánh sinh nhật,511000.0,166000.0,855000.0,93,122,11307,5775447166,0.9,0.61,ecommerce_simulation,stable
2023-07-16,bánh mì sandwich,17000.0,8000.0,26000.0,57,270,15373,259648573,1.2,0.84,ecommerce_simulation,growing
2023-07-16,bánh quy handmade,70000.0,28000.0,111000.0,174,78,13542,945699609,0.9,0.99,ecommerce_simulation,stable
2023-07-16,bánh tart,101000.0,46000.0,157000.0,276,96,26394,2677103638,1.0,0.81,ecommerce_simulation,stable
2023-07-16,bánh donut,33000.0,15000.0,51000.0,183,290,53138,1748901301,1.2,0.79,ecommerce_simulation,growing
2023-07-16,mix bánh,185000.0,77000.0,293000.0,171,60,10329,1911137286,1.0,0.92,ecommerce_simulation,stable
2023-07-23,bánh sinh nhật,483000.0,148000.0,817000.0,53,195,10329,4986708313,0.9,0.98,ecommerce_simulation,stable
2023-07-23,bánh mì sandwich,17000.0,7000.0,26000.0,261,423,110383,1856161255,1.2,0.63,ecommerce_simulation,growing
2023-07-23,bánh quy handmade,76000.0,32000.0,119000.0,216,89,19198,1450551126,0.9,0.67,ecommerce_simulation,stable
2023-07-23,bánh tart,102000.0,48000.0,156000.0,284,69,19710,2007176734,1.0,0.99,ecommerce_simulation,stable
2023-07-23,bánh donut,31000.0,15000.0,47000.0,299,220,65658,2024019957,1.2,0.83,ecommerce_simulation,growing
2023-07-23,mix bánh,198000.0,74000.0,323000.0,187,52,9710,1926974800,1.0,0.8,ecommerce_simulation,stable
2023-07-30,bánh sinh nhật,481000.0,160000.0,802000.0,145,147,21369,10277561519,0.9,0.63,ecommerce_simulation,stable
2023-07-30,bánh mì sandwich,18000.0,9000.0,27000.0,237,343,81382,1439781655,1.2,0.79,ecommerce_simulation,growing
2023-07-30,bánh quy handmade,77000.0,29000.0,126000.0,148,61,9006,697853128,0.9,0.95,ecommerce_simulation,stable
2023-07-30,bánh tart,98000.0,46000.0,149000.0,223,69,15424,1508200257,1.0,0.96,ecommerce_simulation,stable
2023-07-30,bánh donut,34000.0,15000.0,54000.0,204,259,52819,1816335295,1.2,0.6,ecommerce_simulation,growing
2023-07-30,mix bánh,202000.0,81000.0,323000.0,126,41,5193,1046952627,1.0,0.69,ecommerce_simulation,stable
2023-08-06,bánh sinh nhật,483000.0,167000.0,799000.0,214,143,30686,14831141775,1.0,0.98,ecommerce_simulation,stable
2023-08-06,bánh mì sandwich,17000.0,8000.0,27000.0,121,351,42459,738398081,1.1,0.63,ecommerce_simulation,growing
2023-08-06,bánh quy handmade,75000.0,29000.0,122000.0,293,77,22484,1689917750,0.9,0.65,ecommerce_simulation,stable
2023-08-06,bánh tart,92000.0,44000.0,140000.0,103,66,6844,628623512,1.0,0.63,ecommerce_simulation,stable
2023-08-06,bánh donut,30000.0,14000.0,46000.0,188,260,48931,1475963152,1.1,0.93,ecommerce_simulation,growing
2023-08-06,mix bánh,206000.0,87000.0,325000.0,294,39,11451,2359160677,1.0,0.76,ecommerce_simulation,stable
2023-08-13,bánh sinh nhật,461000.0,145000.0,778000.0,71,124,8825,4070689137,1.0,0.94,ecommerce_simulation,stable
2023-08-13,bánh mì sandwich,17000.0,8000.0,26000.0,80,346,27658,469732292,1.1,0.79,ecommerce_simulation,growing
2023-08-13,bánh quy handmade,76000.0,29000.0,123000.0,149,71,10600,803915857,0.9,0.94,ecommerce_simulation,stable
2023-08-13,bánh tart,99000.0,48000.0,150000.0,258,61,15727,1558712480,1.0,0.85,ecommerce_simulation,stable
2023-08-13,bánh donut,33000.0,15000.0,52000.0,101,149,15068,504528101,1.1,0.96,ecommerce_simulation,growing
2023-08-13,mix bánh,181000.0,86000.0,276000.0,129,54,7001,1266634053,1.0,0.98,ecommerce_simulation,stable
2023-08-20,bánh sinh nhật,443000.0,139000.0,747000.0,246,204,50215,22247258909,1.0,0.98,ecommerce_simulation,stable
2023-08-20,bánh mì sandwich,18000.0,8000.0,27000.0,284,386,109725,1952056437,1.1,0.98,ecommerce_simulation,growing
2023-08-20,bánh quy handmade,80000.0,31000.0,130000.0,101,72,7297,585160897,0.9,0.96,ecommerce_simulation,stable
2023-08-20,bánh tart,98000.0,49000.0,148000.0,281,80,22543,2214488078,1.0,0.82,ecommerce_simulation,stable
2023-08-20,bánh donut,33000.0,17000.0,50000.0,239,251,59994,2005239785,1.1,0.88,ecommerce_simulation,growing
2023-08-20,mix bánh,177000.0,75000.0,279000.0,191,41,7751,1369643186,1.0,0.68,ecommerce_simulation,stable
2023-08-27,bánh sinh nhật,460000.0,142000.0,777000.0,158,194,30728,14125330545,1.0,0.83,ecommerce_simulation,stable
2023-08-27,bánh mì sandwich,18000.0,9000.0,27000.0,175,237,41469,745281030,1.1,0.95,ecommerce_simulation,growing
2023-08-27,bánh quy handmade,80000.0,29000.0,131000.0,176,88,15472,1234437891,0.9,0.78,ecommerce_simulation,stable
2023-08-27,bánh tart,104000.0,48000.0,160000.0,165,75,12402,1291860174,1.0,0.99,ecommerce_simulation,stable
2023-08-27,bánh donut,31000.0,15000.0,47000.0,244,269,65697,2046586868,1.1,0.88,ecommerce_simulation,growing
2023-08-27,mix bánh,205000.0,86000.0,324000.0,88,61,5379,1101736017,1.0,0.69,ecommerce_simulation,stable
2023-09-03,bánh sinh nhật,523000.0,150000.0,896000.0,223,175,38956,20391228217,1.3,0.89,ecommerce_simulation,growing
2023-09-03,bánh mì sandwich,16000.0,9000.0,24000.0,70,252,17636,289134171,1.0,0.97,ecommerce_simulation,stable
2023-09-03,bánh quy handmade,80000.0,33000.0,126000.0,202,106,21425,1704904294,1.1,0.75,ecommerce_simulation,growing
2023-09-03,bánh tart,100000.0,42000.0,158000.0,296,69,20567,2061017347,1.1,0.68,ecommerce_simulation,growing
2023-09-03,bánh donut,33000.0,16000.0,50000.0,78,164,12824,426039324,1.0,0.9,ecommerce_simulation,stable
2023-09-03,mix bánh,182000.0,88000.0,277000.0,105,53,5518,1005779053,1.2,0.96,ecommerce_simulation,growing
2023-09-10,bánh sinh nhật,478000.0,160000.0,795000.0,187,292,54599,26077155150,1.3,0.7,ecommerce_simulation,growing
2023-09-10,bánh mì sandwich,16000.0,8000.0,24000.0,142,302,42824,682242773,1.0,0.8,ecommerce_simulation,stable
2023-09-10,bánh quy handmade,80000.0,33000.0,128000.0,189,114,21512,1727913670,1.1,0.81,ecommerce_simulation,growing
2023-09-10,bánh tart,95000.0,49000.0,141000.0,257,68,17454,1655610067,1.1,0.71,ecommerce_simulation,growing
2023-09-10,bánh donut,35000.0,14000.0,56000.0,58,153,8900,310900155,1.0,0.95,ecommerce_simulation,stable
