date,inflation_rate,income_index,flour_price_index,butter_price_index,sugar_price_index,milk_price_index,usd_vnd_rate,consumer_confidence,food_service_index,retail_sales_growth,unemployment_rate,gas_price_per_liter,electricity_price_per_kwh,minimum_wage_index
2024-04-12,3.65,106.2,102,108,95,104,24548.0,77.4,108,9.5,2.2,24689.0,2513.0,110.1
2024-04-13,3.3,104.4,102,108,95,104,24443.0,80.4,108,9.5,2.2,20865.0,2496.0,110.2
2024-04-14,3.59,106.2,102,108,95,104,24534.0,79.9,108,9.5,2.2,22176.0,2684.0,110.2
2024-04-15,3.65,106.5,102,108,95,104,24609.0,78.2,108,9.5,2.2,23384.0,2494.0,110.2
2024-04-16,3.45,104.9,102,108,95,104,24449.0,76.7,108,9.5,2.2,20169.0,2528.0,110.3
2024-04-17,3.65,106.8,102,108,95,104,24434.0,78.3,108,9.5,2.2,21386.0,2645.0,110.3
2024-04-18,3.24,105.6,102,108,95,104,24478.0,76.0,108,9.5,2.2,23356.0,2587.0,110.4
2024-04-19,3.87,105.9,102,108,95,104,24479.0,73.7,108,9.5,2.2,24601.0,2620.0,110.5
2024-04-20,3.59,104.9,102,108,95,104,24465.0,76.7,108,9.5,2.2,25591.0,2536.0,110.5
2024-04-21,3.44,104.3,102,108,95,104,24302.0,76.9,108,9.5,2.2,21253.0,2594.0,110.5
2024-04-22,3.53,102.8,102,108,95,104,24657.0,79.7,108,9.5,2.2,21620.0,2597.0,110.6
2024-04-23,3.65,103.2,102,108,95,104,24502.0,80.8,108,9.5,2.2,21477.0,2706.0,110.7
2024-04-24,3.34,105.8,102,108,95,104,24579.0,77.3,108,9.5,2.2,22637.0,2574.0,110.7
2024-04-25,3.67,104.9,102,108,95,104,24484.0,78.8,108,9.5,2.2,23506.0,2758.0,110.8
2024-04-26,3.13,104.9,102,108,95,104,24456.0,77.4,108,9.5,2.2,23117.0,2631.0,110.8
2024-04-27,3.9,104.6,102,108,95,104,24448.0,78.4,108,9.5,2.2,23260.0,2571.0,110.8
2024-04-28,3.56,105.8,102,108,95,104,24501.0,78.2,108,9.5,2.2,20948.0,2676.0,110.9
2024-04-29,3.48,106.0,102,108,95,104,24593.0,74.1,108,9.5,2.2,21847.0,2582.0,111.0
2024-04-30,3.48,103.7,102,108,95,104,24422.0,80.7,108,9.5,2.2,24000.0,2654.0,111.0
2024-05-01,3.43,106.4,102,108,95,104,24550.0,76.6,108,9.5,2.2,22519.0,2536.0,111.0
2024-05-02,3.49,105.0,102,108,95,104,24476.0,77.5,108,9.5,2.2,21316.0,2595.0,111.1
2024-05-03,3.83,104.6,102,108,95,104,24500.0,76.6,108,9.5,2.2,22063.0,2597.0,111.2
2024-05-04,3.55,104.7,102,108,95,104,24605.0,77.2,108,9.5,2.2,23541.0,2582.0,111.2
2024-05-05,3.56,106.4,102,108,95,104,24313.0,80.5,108,9.5,2.2,21640.0,2636.0,111.2
2024-05-06,3.76,103.5,102,108,95,104,24244.0,76.1,108,9.5,2.2,23763.0,2592.0,111.3
2024-05-07,3.53,105.3,102,108,95,104,24481.0,75.2,108,9.5,2.2,21997.0,2540.0,111.3
2024-05-08,3.08,104.9,102,108,95,104,24559.0,76.8,108,9.5,2.2,22824.0,2604.0,111.4
2024-05-09,3.39,105.1,102,108,95,104,24571.0,77.7,108,9.5,2.2,22412.0,2643.0,111.5
2024-05-10,3.38,103.5,102,108,95,104,24559.0,79.3,108,9.5,2.2,24787.0,2621.0,111.5
2024-05-11,3.69,106.6,102,108,95,104,24420.0,80.4,108,9.5,2.2,23281.0,2564.0,111.5
2024-05-12,3.67,103.3,102,108,95,104,24595.0,79.5,108,9.5,2.2,22257.0,2559.0,111.6
2024-05-13,3.48,104.7,102,108,95,104,24536.0,79.3,108,9.5,2.2,21132.0,2639.0,111.7
2024-05-14,3.34,103.2,102,108,95,104,24429.0,78.8,108,9.5,2.2,24920.0,2670.0,111.7
2024-05-15,3.41,104.3,102,108,95,104,24617.0,80.8,108,9.5,2.2,21889.0,2594.0,111.8
2024-05-16,3.24,104.4,102,108,95,104,24457.0,72.2,108,9.5,2.2,23927.0,2700.0,111.8
2024-05-17,3.53,104.1,102,108,95,104,24292.0,79.0,108,9.5,2.2,21160.0,2625.0,111.8
2024-05-18,3.82,103.6,102,108,95,104,24388.0,78.8,108,9.5,2.2,24137.0,2580.0,111.9
2024-05-19,3.91,105.4,102,108,95,104,24526.0,77.5,108,9.5,2.2,23525.0,2601.0,112.0
2024-05-20,3.47,104.1,102,108,95,104,24376.0,78.3,108,9.5,2.2,24448.0,2591.0,112.0
2024-05-21,3.42,106.0,102,108,95,104,24471.0,77.8,108,9.5,2.2,22405.0,2571.0,112.0
2024-05-22,3.49,104.8,102,108,95,104,24448.0,80.5,108,9.5,2.2,22792.0,2612.0,112.1
2024-05-23,3.31,104.6,102,108,95,104,24360.0,76.2,108,9.5,2.2,23852.0,2677.0,112.2
2024-05-24,3.56,106.5,102,108,95,104,24510.0,76.5,108,9.5,2.2,24221.0,2576.0,112.2
2024-05-25,3.66,104.2,102,108,95,104,24555.0,78.1,108,9.5,2.2,23778.0,2605.0,112.2
2024-05-26,3.44,105.9,102,108,95,104,24446.0,78.3,108,9.5,2.2,24090.0,2527.0,112.3
2024-05-27,3.6,105.0,102,108,95,104,24545.0,81.1,108,9.5,2.2,23450.0,2527.0,112.3
2024-05-28,3.59,105.1,102,108,95,104,24582.0,76.1,108,9.5,2.2,23502.0,2594.0,112.4
2024-05-29,3.39,105.2,102,108,95,104,24495.0,74.7,108,9.5,2.2,22832.0,2674.0,112.5
2024-05-30,3.43,104.7,102,108,95,104,24609.0,77.3,108,9.5,2.2,22846.0,2711.0,112.5
2024-05-31,3.38,102.6,102,108,95,104,24297.0,79.6,108,9.5,2.2,20804.0,2562.0,112.5
2024-06-01,3.54,104.5,102,108,95,104,24568.0,77.7,108,9.5,2.2,20653.0,2639.0,112.6
2024-06-02,3.46,106.2,102,108,95,104,24461.0,78.2,108,9.5,2.2,24613.0,2613.0,112.7
2024-06-03,3.53,104.9,102,108,95,104,24419.0,78.6,108,9.5,2.2,21917.0,2550.0,112.7
2024-06-04,3.4,105.6,102,108,95,104,24467.0,81.5,108,9.5,2.2,21778.0,2598.0,112.8
2024-06-05,3.6,104.0,102,108,95,104,24470.0,79.9,108,9.5,2.2,23044.0,2533.0,112.8
2024-06-06,3.55,105.1,102,108,95,104,24512.0,80.7,108,9.5,2.2,26077.0,2664.0,112.8
2024-06-07,3.69,105.4,102,108,95,104,24559.0,76.4,108,9.5,2.2,22581.0,2632.0,112.9
2024-06-08,3.23,105.8,102,108,95,104,24404.0,78.2,108,9.5,2.2,24380.0,2672.0,113.0
2024-06-09,3.37,105.4,102,108,95,104,24536.0,77.8,108,9.5,2.2,23582.0,2591.0,113.0
2024-06-10,4.05,103.2,102,108,95,104,24452.0,76.1,108,9.5,2.2,24899.0,2598.0,113.0
2024-06-11,3.37,106.1,102,108,95,104,24505.0,81.8,108,9.5,2.2,23576.0,2589.0,113.1
2024-06-12,3.57,103.5,102,108,95,104,24274.0,76.7,108,9.5,2.2,25138.0,2633.0,113.2
2024-06-13,3.87,105.4,102,108,95,104,24619.0,73.2,108,9.5,2.2,23794.0,2547.0,113.2
2024-06-14,3.57,106.0,102,108,95,104,24413.0,73.5,108,9.5,2.2,21688.0,2712.0,113.2
2024-06-15,3.49,104.0,102,108,95,104,24538.0,76.7,108,9.5,2.2,23432.0,2705.0,113.3
2024-06-16,3.56,106.0,102,108,95,104,24619.0,79.9,108,9.5,2.2,19997.0,2579.0,113.3
2024-06-17,3.71,105.2,102,108,95,104,24397.0,76.6,108,9.5,2.2,24433.0,2709.0,113.4
2024-06-18,3.29,105.7,102,108,95,104,24478.0,80.2,108,9.5,2.2,22803.0,2571.0,113.5
2024-06-19,3.28,107.0,102,108,95,104,24379.0,76.6,108,9.5,2.2,23630.0,2532.0,113.5
2024-06-20,3.87,103.3,102,108,95,104,24368.0,76.2,108,9.5,2.2,23729.0,2524.0,113.5
2024-06-21,3.84,106.6,102,108,95,104,24523.0,80.8,108,9.5,2.2,22977.0,2593.0,113.6
2024-06-22,3.33,105.8,102,108,95,104,24523.0,80.0,108,9.5,2.2,24681.0,2595.0,113.7
2024-06-23,3.65,105.4,102,108,95,104,24693.0,78.2,108,9.5,2.2,24059.0,2585.0,113.7
2024-06-24,3.3,106.7,102,108,95,104,24419.0,78.6,108,9.5,2.2,23156.0,2612.0,113.8
2024-06-25,3.45,105.9,102,108,95,104,24545.0,78.6,108,9.5,2.2,24143.0,2601.0,113.8
2024-06-26,3.68,105.0,102,108,95,104,24548.0,76.3,108,9.5,2.2,22597.0,2652.0,113.8
2024-06-27,3.72,106.2,102,108,95,104,24501.0,79.0,108,9.5,2.2,22342.0,2603.0,113.9
2024-06-28,3.46,105.9,102,108,95,104,24547.0,78.9,108,9.5,2.2,20691.0,2652.0,114.0
2024-06-29,3.45,104.6,102,108,95,104,24436.0,78.0,108,9.5,2.2,23512.0,2706.0,114.0
2024-06-30,3.47,105.0,102,108,95,104,24614.0,78.0,108,9.5,2.2,22911.0,2604.0,114.0
2024-07-01,3.39,105.9,102,108,95,104,24600.0,78.8,108,9.5,2.2,23876.0,2616.0,114.1
2024-07-02,3.48,105.2,102,108,95,104,24562.0,77.0,108,9.5,2.2,23261.0,2572.0,114.2
2024-07-03,3.37,106.1,102,108,95,104,24481.0,77.3,108,9.5,2.2,22718.0,2531.0,114.2
2024-07-04,3.23,105.2,102,108,95,104,24556.0,77.7,108,9.5,2.2,22161.0,2556.0,114.2
2024-07-05,3.66,105.1,102,108,95,104,24639.0,77.1,108,9.5,2.2,24238.0,2642.0,114.3
2024-07-06,3.44,104.9,102,108,95,104,24579.0,80.5,108,9.5,2.2,20681.0,2592.0,114.3
2024-07-07,3.48,106.2,102,108,95,104,24438.0,77.5,108,9.5,2.2,22323.0,2597.0,114.4
2024-07-08,3.41,105.7,102,108,95,104,24498.0,79.8,108,9.5,2.2,24819.0,2614.0,114.5
2024-07-09,3.36,105.6,102,108,95,104,24381.0,77.9,108,9.5,2.2,21959.0,2523.0,114.5
2024-07-10,3.48,105.9,102,108,95,104,24485.0,78.1,108,9.5,2.2,22353.0,2599.0,114.5
2024-07-11,3.61,105.0,102,108,95,104,24467.0,81.3,108,9.5,2.2,22712.0,2649.0,114.6
2024-07-12,3.46,106.6,102,108,95,104,24592.0,78.1,108,9.5,2.2,23467.0,2621.0,114.7
2024-07-13,3.5,104.1,102,108,95,104,24622.0,79.4,108,9.5,2.2,22958.0,2664.0,114.7
2024-07-14,3.72,106.2,102,108,95,104,24536.0,77.2,108,9.5,2.2,25387.0,2680.0,114.8
2024-07-15,3.06,105.1,102,108,95,104,24544.0,73.7,108,9.5,2.2,22265.0,2588.0,114.8
2024-07-16,3.59,105.0,102,108,95,104,24396.0,77.8,108,9.5,2.2,22641.0,2541.0,114.8
2024-07-17,3.5,104.4,102,108,95,104,24513.0,77.5,108,9.5,2.2,23259.0,2637.0,114.9
2024-07-18,3.25,104.3,102,108,95,104,24413.0,77.5,108,9.5,2.2,23053.0,2649.0,115.0
2024-07-19,3.63,104.4,102,108,95,104,24577.0,78.6,108,9.5,2.2,23340.0,2567.0,115.0
2024-07-20,3.46,104.6,102,108,95,104,24576.0,81.1,108,9.5,2.2,24562.0,2657.0,115.0
2024-07-21,3.83,105.6,102,108,95,104,24485.0,80.7,108,9.5,2.2,20809.0,2573.0,115.1
2024-07-22,3.89,104.9,102,108,95,104,24623.0,80.7,108,9.5,2.2,22045.0,2581.0,115.2
2024-07-23,3.64,105.4,102,108,95,104,24574.0,79.6,108,9.5,2.2,23252.0,2552.0,115.2
2024-07-24,3.44,105.0,102,108,95,104,24451.0,75.3,108,9.5,2.2,22536.0,2502.0,115.2
2024-07-25,3.1,104.9,102,108,95,104,24290.0,79.6,108,9.5,2.2,22758.0,2637.0,115.3
2024-07-26,3.5,105.2,102,108,95,104,24622.0,77.4,108,9.5,2.2,21301.0,2536.0,115.3
2024-07-27,3.64,106.4,102,108,95,104,24514.0,78.8,108,9.5,2.2,23053.0,2567.0,115.4
2024-07-28,3.39,105.2,102,108,95,104,24544.0,81.6,108,9.5,2.2,22582.0,2526.0,115.5
2024-07-29,3.5,106.7,102,108,95,104,24476.0,78.2,108,9.5,2.2,23806.0,2602.0,115.5
2024-07-30,3.96,106.2,102,108,95,104,24433.0,76.9,108,9.5,2.2,24478.0,2629.0,115.5
2024-07-31,3.51,104.0,102,108,95,104,24541.0,76.4,108,9.5,2.2,23879.0,2616.0,115.6
2024-08-01,3.26,104.3,102,108,95,104,24402.0,81.0,108,9.5,2.2,21302.0,2682.0,115.7
2024-08-02,3.66,105.1,102,108,95,104,24484.0,77.9,108,9.5,2.2,23742.0,2603.0,115.7
2024-08-03,3.63,105.8,102,108,95,104,24484.0,78.9,108,9.5,2.2,23884.0,2508.0,115.8
2024-08-04,3.66,105.1,102,108,95,104,24236.0,75.6,108,9.5,2.2,22808.0,2727.0,115.8
2024-08-05,3.42,104.7,102,108,95,104,24491.0,77.7,108,9.5,2.2,23800.0,2566.0,115.8
2024-08-06,3.07,103.6,102,108,95,104,24494.0,77.6,108,9.5,2.2,24323.0,2640.0,115.9
2024-08-07,3.61,104.9,102,108,95,104,24485.0,78.4,108,9.5,2.2,24186.0,2649.0,116.0
2024-08-08,3.69,104.2,102,108,95,104,24662.0,74.0,108,9.5,2.2,24627.0,2543.0,116.0
2024-08-09,3.49,105.2,102,108,95,104,24663.0,77.8,108,9.5,2.2,24353.0,2690.0,116.0
2024-08-10,3.29,104.4,102,108,95,104,24462.0,75.4,108,9.5,2.2,22918.0,2554.0,116.1
2024-08-11,3.67,102.2,102,108,95,104,24387.0,79.4,108,9.5,2.2,21706.0,2702.0,116.2
2024-08-12,3.36,105.8,102,108,95,104,24581.0,77.9,108,9.5,2.2,21618.0,2649.0,116.2
2024-08-13,3.33,105.0,102,108,95,104,24472.0,77.9,108,9.5,2.2,23679.0,2641.0,116.2
2024-08-14,3.6,105.4,102,108,95,104,24369.0,77.2,108,9.5,2.2,22674.0,2530.0,116.3
2024-08-15,3.56,104.8,102,108,95,104,24419.0,82.1,108,9.5,2.2,21703.0,2559.0,116.3
2024-08-16,3.48,106.3,102,108,95,104,24354.0,75.5,108,9.5,2.2,22467.0,2715.0,116.4
2024-08-17,3.69,105.1,102,108,95,104,24666.0,76.5,108,9.5,2.2,23267.0,2595.0,116.5
2024-08-18,3.24,104.5,102,108,95,104,24512.0,80.7,108,9.5,2.2,23787.0,2598.0,116.5
2024-08-19,3.6,105.0,102,108,95,104,24266.0,78.8,108,9.5,2.2,23032.0,2631.0,116.5
2024-08-20,3.41,105.4,102,108,95,104,24379.0,75.8,108,9.5,2.2,22547.0,2518.0,116.6
2024-08-21,3.1,105.1,102,108,95,104,24561.0,78.6,108,9.5,2.2,22524.0,2574.0,116.7
2024-08-22,3.56,105.1,102,108,95,104,24513.0,78.7,108,9.5,2.2,23591.0,2628.0,116.7
2024-08-23,3.47,104.6,102,108,95,104,24552.0,78.5,108,9.5,2.2,23342.0,2638.0,116.8
2024-08-24,3.28,105.7,102,108,95,104,24640.0,80.0,108,9.5,2.2,20894.0,2603.0,116.8
2024-08-25,3.38,105.1,102,108,95,104,24326.0,78.2,108,9.5,2.2,24133.0,2646.0,116.8
2024-08-26,3.79,105.7,102,108,95,104,24485.0,76.0,108,9.5,2.2,21228.0,2635.0,116.9
2024-08-27,3.46,104.0,102,108,95,104,24578.0,81.2,108,9.5,2.2,22103.0,2455.0,117.0
2024-08-28,3.54,103.5,102,108,95,104,24456.0,80.3,108,9.5,2.2,21880.0,2516.0,117.0
2024-08-29,3.4,104.7,102,108,95,104,24584.0,75.7,108,9.5,2.2,21987.0,2537.0,117.0
2024-08-30,3.54,104.3,102,108,95,104,24389.0,80.9,108,9.5,2.2,24204.0,2692.0,117.1
2024-08-31,3.48,103.8,102,108,95,104,24595.0,79.3,108,9.5,2.2,22339.0,2641.0,117.2
2024-09-01,3.58,106.8,102,108,95,104,24457.0,78.4,108,9.5,2.2,21486.0,2561.0,117.2
