date,competitor,product_type,price,seasonal_factor
2023-01-04,Paris Baguette,bánh mì sandwich,59000.0,1.3
2023-01-04,Paris Baguette,bánh croissant,33000.0,1.3
2023-01-04,Paris Baguette,bánh donut,27000.0,1.3
2023-01-04,Local Bakery,bánh sinh nhật,481000.0,1.3
2023-01-04,Local Bakery,bánh cupcake,39000.0,1.3
2023-01-04,Local Bakery,bánh mì sandwich,64000.0,1.3
2023-01-04,Local Bakery,bánh croissant,34000.0,1.3
2023-01-04,Local Bakery,bánh donut,28000.0,1.3
2023-01-05,ABC Bakery,bánh sinh nhật,482000.0,1.3
2023-01-05,ABC Bakery,bánh cupcake,47000.0,1.3
2023-01-05,ABC Bakery,bánh mì sandwich,62000.0,1.3
2023-01-05,ABC Bakery,bánh croissant,35000.0,1.3
2023-01-05,ABC Bakery,bánh donut,22000.0,1.3
2023-01-05,Paris Baguette,bánh sinh nhật,528000.0,1.3
2023-01-05,Paris Baguette,bánh cupcake,40000.0,1.3
2023-01-05,Paris Baguette,bánh mì sandwich,56000.0,1.3
2023-01-05,Paris Baguette,bánh croissant,35000.0,1.3
2023-01-05,Paris Baguette,bánh donut,25000.0,1.3
2023-01-05,Local Bakery,bánh sinh nhật,440000.0,1.3
2023-01-05,Local Bakery,bánh cupcake,48000.0,1.3
2023-01-05,Local Bakery,bánh mì sandwich,53000.0,1.3
2023-01-05,Local Bakery,bánh croissant,36000.0,1.3
2023-01-05,Local Bakery,bánh donut,28000.0,1.3
2023-01-06,ABC Bakery,bánh sinh nhật,436000.0,1.3
2023-01-06,ABC Bakery,bánh cupcake,42000.0,1.3
2023-01-06,ABC Bakery,bánh mì sandwich,65000.0,1.3
2023-01-06,ABC Bakery,bánh croissant,33000.0,1.3
2023-01-06,ABC Bakery,bánh donut,23000.0,1.3
2023-01-06,Paris Baguette,bánh sinh nhật,561000.0,1.3
2023-01-06,Paris Baguette,bánh cupcake,41000.0,1.3
2023-01-06,Paris Baguette,bánh mì sandwich,61000.0,1.3
2023-01-06,Paris Baguette,bánh croissant,31000.0,1.3
2023-01-06,Paris Baguette,bánh donut,30000.0,1.3
2023-01-06,Local Bakery,bánh sinh nhật,411000.0,1.3
2023-01-06,Local Bakery,bánh cupcake,43000.0,1.3
2023-01-06,Local Bakery,bánh mì sandwich,55000.0,1.3
2023-01-06,Local Bakery,bánh croissant,33000.0,1.3
2023-01-06,Local Bakery,bánh donut,23000.0,1.3
2023-01-07,ABC Bakery,bánh sinh nhật,552000.0,1.3
2023-01-07,ABC Bakery,bánh cupcake,41000.0,1.3
2023-01-07,ABC Bakery,bánh mì sandwich,57000.0,1.3
2023-01-07,ABC Bakery,bánh croissant,33000.0,1.3
2023-01-07,ABC Bakery,bánh donut,29000.0,1.3
2023-01-07,Paris Baguette,bánh sinh nhật,492000.0,1.3
2023-01-07,Paris Baguette,bánh cupcake,54000.0,1.3
2023-01-07,Paris Baguette,bánh mì sandwich,55000.0,1.3
2023-01-07,Paris Baguette,bánh croissant,32000.0,1.3
2023-01-07,Paris Baguette,bánh donut,24000.0,1.3
2023-01-07,Local Bakery,bánh sinh nhật,411000.0,1.3
2023-01-07,Local Bakery,bánh cupcake,53000.0,1.3
2023-01-07,Local Bakery,bánh mì sandwich,59000.0,1.3
2023-01-07,Local Bakery,bánh croissant,29000.0,1.3
2023-01-07,Local Bakery,bánh donut,24000.0,1.3
2023-01-08,ABC Bakery,bánh sinh nhật,458000.0,1.3
2023-01-08,ABC Bakery,bánh cupcake,49000.0,1.3
2023-01-08,ABC Bakery,bánh mì sandwich,61000.0,1.3
2023-01-08,ABC Bakery,bánh croissant,36000.0,1.3
2023-01-08,ABC Bakery,bánh donut,31000.0,1.3
2023-01-08,Paris Baguette,bánh sinh nhật,358000.0,1.3
2023-01-08,Paris Baguette,bánh cupcake,58000.0,1.3
2023-01-08,Paris Baguette,bánh mì sandwich,60000.0,1.3
2023-01-08,Paris Baguette,bánh croissant,37000.0,1.3
2023-01-08,Paris Baguette,bánh donut,27000.0,1.3
2023-01-08,Local Bakery,bánh sinh nhật,383000.0,1.3
2023-01-08,Local Bakery,bánh cupcake,41000.0,1.3
2023-01-08,Local Bakery,bánh mì sandwich,58000.0,1.3
2023-01-08,Local Bakery,bánh croissant,38000.0,1.3
2023-01-08,Local Bakery,bánh donut,29000.0,1.3
2023-01-09,ABC Bakery,bánh sinh nhật,470000.0,1.3
2023-01-09,ABC Bakery,bánh cupcake,46000.0,1.3
2023-01-09,ABC Bakery,bánh mì sandwich,56000.0,1.3
2023-01-09,ABC Bakery,bánh croissant,29000.0,1.3
2023-01-09,ABC Bakery,bánh donut,27000.0,1.3
2023-01-09,Paris Baguette,bánh sinh nhật,519000.0,1.3
2023-01-09,Paris Baguette,bánh cupcake,45000.0,1.3
2023-01-09,Paris Baguette,bánh mì sandwich,59000.0,1.3
2023-01-09,Paris Baguette,bánh croissant,33000.0,1.3
2023-01-09,Paris Baguette,bánh donut,25000.0,1.3
2023-01-09,Local Bakery,bánh sinh nhật,455000.0,1.3
2023-01-09,Local Bakery,bánh cupcake,52000.0,1.3
2023-01-09,Local Bakery,bánh mì sandwich,48000.0,1.3
2023-01-09,Local Bakery,bánh croissant,32000.0,1.3
2023-01-09,Local Bakery,bánh donut,28000.0,1.3
2023-01-10,ABC Bakery,bánh sinh nhật,510000.0,1.3
2023-01-10,ABC Bakery,bánh cupcake,47000.0,1.3
2023-01-10,ABC Bakery,bánh mì sandwich,48000.0,1.3
2023-01-10,ABC Bakery,bánh croissant,33000.0,1.3
2023-01-10,ABC Bakery,bánh donut,28000.0,1.3
2023-01-10,Paris Baguette,bánh sinh nhật,476000.0,1.3
2023-01-10,Paris Baguette,bánh cupcake,39000.0,1.3
2023-01-10,Paris Baguette,bánh mì sandwich,59000.0,1.3
2023-01-10,Paris Baguette,bánh croissant,25000.0,1.3
2023-01-10,Paris Baguette,bánh donut,27000.0,1.3
2023-01-10,Local Bakery,bánh sinh nhật,410000.0,1.3
2023-01-10,Local Bakery,bánh cupcake,46000.0,1.3
2023-01-10,Local Bakery,bánh mì sandwich,59000.0,1.3
2023-01-10,Local Bakery,bánh croissant,34000.0,1.3
2023-01-10,Local Bakery,bánh donut,26000.0,1.3
2023-01-11,ABC Bakery,bánh sinh nhật,459000.0,1.3
2023-01-11,ABC Bakery,bánh cupcake,47000.0,1.3
2023-01-11,ABC Bakery,bánh mì sandwich,58000.0,1.3
2023-01-11,ABC Bakery,bánh croissant,31000.0,1.3
2023-01-11,ABC Bakery,bánh donut,26000.0,1.3
2023-01-11,Paris Baguette,bánh sinh nhật,497000.0,1.3
2023-01-11,Paris Baguette,bánh cupcake,53000.0,1.3
2023-01-11,Paris Baguette,bánh mì sandwich,51000.0,1.3
2023-01-11,Paris Baguette,bánh croissant,33000.0,1.3
2023-01-11,Paris Baguette,bánh donut,29000.0,1.3
2023-01-11,Local Bakery,bánh sinh nhật,400000.0,1.3
2023-01-11,Local Bakery,bánh cupcake,37000.0,1.3
2023-01-11,Local Bakery,bánh mì sandwich,47000.0,1.3
2023-01-11,Local Bakery,bánh croissant,33000.0,1.3
2023-01-11,Local Bakery,bánh donut,29000.0,1.3
2023-01-12,ABC Bakery,bánh sinh nhật,387000.0,1.3
2023-01-12,ABC Bakery,bánh cupcake,44000.0,1.3
2023-01-12,ABC Bakery,bánh mì sandwich,54000.0,1.3
2023-01-12,ABC Bakery,bánh croissant,30000.0,1.3
2023-01-12,ABC Bakery,bánh donut,24000.0,1.3
2023-01-12,Paris Baguette,bánh sinh nhật,344000.0,1.3
2023-01-12,Paris Baguette,bánh cupcake,45000.0,1.3
2023-01-12,Paris Baguette,bánh mì sandwich,63000.0,1.3
2023-01-12,Paris Baguette,bánh croissant,33000.0,1.3
2023-01-12,Paris Baguette,bánh donut,29000.0,1.3
2023-01-12,Local Bakery,bánh sinh nhật,542000.0,1.3
2023-01-12,Local Bakery,bánh cupcake,43000.0,1.3
2023-01-12,Local Bakery,bánh mì sandwich,55000.0,1.3
2023-01-12,Local Bakery,bánh croissant,31000.0,1.3
2023-01-12,Local Bakery,bánh donut,26000.0,1.3
2023-01-13,ABC Bakery,bánh sinh nhật,461000.0,1.3
2023-01-13,ABC Bakery,bánh cupcake,47000.0,1.3
2023-01-13,ABC Bakery,bánh mì sandwich,53000.0,1.3
2023-01-13,ABC Bakery,bánh croissant,30000.0,1.3
2023-01-13,ABC Bakery,bánh donut,25000.0,1.3
2023-01-13,Paris Baguette,bánh sinh nhật,519000.0,1.3
2023-01-13,Paris Baguette,bánh cupcake,50000.0,1.3
2023-01-13,Paris Baguette,bánh mì sandwich,57000.0,1.3
2023-01-13,Paris Baguette,bánh croissant,32000.0,1.3
2023-01-13,Paris Baguette,bánh donut,25000.0,1.3
2023-01-13,Local Bakery,bánh sinh nhật,428000.0,1.3
2023-01-13,Local Bakery,bánh cupcake,46000.0,1.3
2023-01-13,Local Bakery,bánh mì sandwich,58000.0,1.3
2023-01-13,Local Bakery,bánh croissant,28000.0,1.3
2023-01-13,Local Bakery,bánh donut,23000.0,1.3
2023-01-14,ABC Bakery,bánh sinh nhật,389000.0,1.3
2023-01-14,ABC Bakery,bánh cupcake,57000.0,1.3
2023-01-14,ABC Bakery,bánh mì sandwich,52000.0,1.3
2023-01-14,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-14,ABC Bakery,bánh donut,25000.0,1.3
2023-01-14,Paris Baguette,bánh sinh nhật,484000.0,1.3
2023-01-14,Paris Baguette,bánh cupcake,45000.0,1.3
2023-01-14,Paris Baguette,bánh mì sandwich,58000.0,1.3
2023-01-14,Paris Baguette,bánh croissant,28000.0,1.3
2023-01-14,Paris Baguette,bánh donut,31000.0,1.3
2023-01-14,Local Bakery,bánh sinh nhật,377000.0,1.3
2023-01-14,Local Bakery,bánh cupcake,46000.0,1.3
2023-01-14,Local Bakery,bánh mì sandwich,55000.0,1.3
2023-01-14,Local Bakery,bánh croissant,29000.0,1.3
2023-01-14,Local Bakery,bánh donut,26000.0,1.3
2023-01-15,ABC Bakery,bánh sinh nhật,447000.0,1.3
2023-01-15,ABC Bakery,bánh cupcake,45000.0,1.3
2023-01-15,ABC Bakery,bánh mì sandwich,61000.0,1.3
2023-01-15,ABC Bakery,bánh croissant,34000.0,1.3
2023-01-15,ABC Bakery,bánh donut,21000.0,1.3
2023-01-15,Paris Baguette,bánh sinh nhật,369000.0,1.3
2023-01-15,Paris Baguette,bánh cupcake,50000.0,1.3
2023-01-15,Paris Baguette,bánh mì sandwich,59000.0,1.3
2023-01-15,Paris Baguette,bánh croissant,31000.0,1.3
2023-01-15,Paris Baguette,bánh donut,30000.0,1.3
2023-01-15,Local Bakery,bánh sinh nhật,484000.0,1.3
2023-01-15,Local Bakery,bánh cupcake,41000.0,1.3
2023-01-15,Local Bakery,bánh mì sandwich,59000.0,1.3
2023-01-15,Local Bakery,bánh croissant,30000.0,1.3
2023-01-15,Local Bakery,bánh donut,24000.0,1.3
2023-01-16,ABC Bakery,bánh sinh nhật,307000.0,1.3
2023-01-16,ABC Bakery,bánh cupcake,48000.0,1.3
2023-01-16,ABC Bakery,bánh mì sandwich,52000.0,1.3
2023-01-16,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-16,ABC Bakery,bánh donut,25000.0,1.3
2023-01-16,Paris Baguette,bánh sinh nhật,414000.0,1.3
2023-01-16,Paris Baguette,bánh cupcake,38000.0,1.3
2023-01-16,Paris Baguette,bánh mì sandwich,46000.0,1.3
2023-01-16,Paris Baguette,bánh croissant,32000.0,1.3
2023-01-16,Paris Baguette,bánh donut,28000.0,1.3
2023-01-16,Local Bakery,bánh sinh nhật,485000.0,1.3
2023-01-16,Local Bakery,bánh cupcake,54000.0,1.3
2023-01-16,Local Bakery,bánh mì sandwich,62000.0,1.3
2023-01-16,Local Bakery,bánh croissant,36000.0,1.3
2023-01-16,Local Bakery,bánh donut,29000.0,1.3
2023-01-17,ABC Bakery,bánh sinh nhật,494000.0,1.3
2023-01-17,ABC Bakery,bánh cupcake,37000.0,1.3
2023-01-17,ABC Bakery,bánh mì sandwich,60000.0,1.3
2023-01-17,ABC Bakery,bánh croissant,39000.0,1.3
2023-01-17,ABC Bakery,bánh donut,26000.0,1.3
2023-01-17,Paris Baguette,bánh sinh nhật,494000.0,1.3
2023-01-17,Paris Baguette,bánh cupcake,51000.0,1.3
2023-01-17,Paris Baguette,bánh mì sandwich,59000.0,1.3
2023-01-17,Paris Baguette,bánh croissant,35000.0,1.3
2023-01-17,Paris Baguette,bánh donut,28000.0,1.3
2023-01-17,Local Bakery,bánh sinh nhật,417000.0,1.3
2023-01-17,Local Bakery,bánh cupcake,41000.0,1.3
2023-01-17,Local Bakery,bánh mì sandwich,53000.0,1.3
2023-01-17,Local Bakery,bánh croissant,29000.0,1.3
2023-01-17,Local Bakery,bánh donut,26000.0,1.3
2023-01-18,ABC Bakery,bánh sinh nhật,439000.0,1.3
2023-01-18,ABC Bakery,bánh cupcake,54000.0,1.3
2023-01-18,ABC Bakery,bánh mì sandwich,61000.0,1.3
2023-01-18,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-18,ABC Bakery,bánh donut,27000.0,1.3
2023-01-18,Paris Baguette,bánh sinh nhật,384000.0,1.3
2023-01-18,Paris Baguette,bánh cupcake,55000.0,1.3
2023-01-18,Paris Baguette,bánh mì sandwich,53000.0,1.3
2023-01-18,Paris Baguette,bánh croissant,35000.0,1.3
2023-01-18,Paris Baguette,bánh donut,29000.0,1.3
2023-01-18,Local Bakery,bánh sinh nhật,360000.0,1.3
2023-01-18,Local Bakery,bánh cupcake,50000.0,1.3
2023-01-18,Local Bakery,bánh mì sandwich,54000.0,1.3
2023-01-18,Local Bakery,bánh croissant,32000.0,1.3
2023-01-18,Local Bakery,bánh donut,28000.0,1.3
2023-01-19,ABC Bakery,bánh sinh nhật,512000.0,1.3
2023-01-19,ABC Bakery,bánh cupcake,49000.0,1.3
2023-01-19,ABC Bakery,bánh mì sandwich,63000.0,1.3
2023-01-19,ABC Bakery,bánh croissant,29000.0,1.3
2023-01-19,ABC Bakery,bánh donut,28000.0,1.3
2023-01-19,Paris Baguette,bánh sinh nhật,420000.0,1.3
2023-01-19,Paris Baguette,bánh cupcake,37000.0,1.3
2023-01-19,Paris Baguette,bánh mì sandwich,53000.0,1.3
2023-01-19,Paris Baguette,bánh croissant,30000.0,1.3
2023-01-19,Paris Baguette,bánh donut,24000.0,1.3
2023-01-19,Local Bakery,bánh sinh nhật,437000.0,1.3
2023-01-19,Local Bakery,bánh cupcake,43000.0,1.3
2023-01-19,Local Bakery,bánh mì sandwich,58000.0,1.3
2023-01-19,Local Bakery,bánh croissant,29000.0,1.3
2023-01-19,Local Bakery,bánh donut,27000.0,1.3
2023-01-20,ABC Bakery,bánh sinh nhật,551000.0,1.3
2023-01-20,ABC Bakery,bánh cupcake,54000.0,1.3
2023-01-20,ABC Bakery,bánh mì sandwich,56000.0,1.3
2023-01-20,ABC Bakery,bánh croissant,35000.0,1.3
2023-01-20,ABC Bakery,bánh donut,29000.0,1.3
2023-01-20,Paris Baguette,bánh sinh nhật,420000.0,1.3
2023-01-20,Paris Baguette,bánh cupcake,38000.0,1.3
2023-01-20,Paris Baguette,bánh mì sandwich,60000.0,1.3
2023-01-20,Paris Baguette,bánh croissant,32000.0,1.3
2023-01-20,Paris Baguette,bánh donut,27000.0,1.3
2023-01-20,Local Bakery,bánh sinh nhật,410000.0,1.3
2023-01-20,Local Bakery,bánh cupcake,40000.0,1.3
2023-01-20,Local Bakery,bánh mì sandwich,56000.0,1.3
2023-01-20,Local Bakery,bánh croissant,32000.0,1.3
2023-01-20,Local Bakery,bánh donut,23000.0,1.3
2023-01-21,ABC Bakery,bánh sinh nhật,503000.0,1.3
2023-01-21,ABC Bakery,bánh cupcake,49000.0,1.3
2023-01-21,ABC Bakery,bánh mì sandwich,59000.0,1.3
2023-01-21,ABC Bakery,bánh croissant,31000.0,1.3
2023-01-21,ABC Bakery,bánh donut,28000.0,1.3
2023-01-21,Paris Baguette,bánh sinh nhật,422000.0,1.3
2023-01-21,Paris Baguette,bánh cupcake,49000.0,1.3
2023-01-21,Paris Baguette,bánh mì sandwich,65000.0,1.3
2023-01-21,Paris Baguette,bánh croissant,35000.0,1.3
2023-01-21,Paris Baguette,bánh donut,24000.0,1.3
2023-01-21,Local Bakery,bánh sinh nhật,473000.0,1.3
2023-01-21,Local Bakery,bánh cupcake,50000.0,1.3
2023-01-21,Local Bakery,bánh mì sandwich,50000.0,1.3
2023-01-21,Local Bakery,bánh croissant,31000.0,1.3
2023-01-21,Local Bakery,bánh donut,21000.0,1.3
2023-01-22,ABC Bakery,bánh sinh nhật,414000.0,1.3
2023-01-22,ABC Bakery,bánh cupcake,52000.0,1.3
2023-01-22,ABC Bakery,bánh mì sandwich,53000.0,1.3
2023-01-22,ABC Bakery,bánh croissant,31000.0,1.3
2023-01-22,ABC Bakery,bánh donut,27000.0,1.3
2023-01-22,Paris Baguette,bánh sinh nhật,399000.0,1.3
2023-01-22,Paris Baguette,bánh cupcake,42000.0,1.3
2023-01-22,Paris Baguette,bánh mì sandwich,63000.0,1.3
2023-01-22,Paris Baguette,bánh croissant,34000.0,1.3
2023-01-22,Paris Baguette,bánh donut,29000.0,1.3
2023-01-22,Local Bakery,bánh sinh nhật,464000.0,1.3
2023-01-22,Local Bakery,bánh cupcake,46000.0,1.3
2023-01-22,Local Bakery,bánh mì sandwich,61000.0,1.3
2023-01-22,Local Bakery,bánh croissant,32000.0,1.3
2023-01-22,Local Bakery,bánh donut,26000.0,1.3
2023-01-23,ABC Bakery,bánh sinh nhật,556000.0,1.3
2023-01-23,ABC Bakery,bánh cupcake,43000.0,1.3
2023-01-23,ABC Bakery,bánh mì sandwich,61000.0,1.3
2023-01-23,ABC Bakery,bánh croissant,29000.0,1.3
2023-01-23,ABC Bakery,bánh donut,25000.0,1.3
2023-01-23,Paris Baguette,bánh sinh nhật,452000.0,1.3
2023-01-23,Paris Baguette,bánh cupcake,47000.0,1.3
2023-01-23,Paris Baguette,bánh mì sandwich,58000.0,1.3
2023-01-23,Paris Baguette,bánh croissant,28000.0,1.3
2023-01-23,Paris Baguette,bánh donut,25000.0,1.3
2023-01-23,Local Bakery,bánh sinh nhật,330000.0,1.3
2023-01-23,Local Bakery,bánh cupcake,43000.0,1.3
2023-01-23,Local Bakery,bánh mì sandwich,57000.0,1.3
2023-01-23,Local Bakery,bánh croissant,35000.0,1.3
2023-01-23,Local Bakery,bánh donut,26000.0,1.3
2023-01-24,ABC Bakery,bánh sinh nhật,361000.0,1.3
2023-01-24,ABC Bakery,bánh cupcake,48000.0,1.3
2023-01-24,ABC Bakery,bánh mì sandwich,57000.0,1.3
2023-01-24,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-24,ABC Bakery,bánh donut,25000.0,1.3
2023-01-24,Paris Baguette,bánh sinh nhật,408000.0,1.3
2023-01-24,Paris Baguette,bánh cupcake,57000.0,1.3
2023-01-24,Paris Baguette,bánh mì sandwich,58000.0,1.3
2023-01-24,Paris Baguette,bánh croissant,32000.0,1.3
2023-01-24,Paris Baguette,bánh donut,27000.0,1.3
2023-01-24,Local Bakery,bánh sinh nhật,454000.0,1.3
2023-01-24,Local Bakery,bánh cupcake,44000.0,1.3
2023-01-24,Local Bakery,bánh mì sandwich,52000.0,1.3
2023-01-24,Local Bakery,bánh croissant,28000.0,1.3
2023-01-24,Local Bakery,bánh donut,26000.0,1.3
2023-01-25,ABC Bakery,bánh sinh nhật,538000.0,1.3
2023-01-25,ABC Bakery,bánh cupcake,44000.0,1.3
2023-01-25,ABC Bakery,bánh mì sandwich,66000.0,1.3
2023-01-25,ABC Bakery,bánh croissant,32000.0,1.3
2023-01-25,ABC Bakery,bánh donut,27000.0,1.3
2023-01-25,Paris Baguette,bánh sinh nhật,537000.0,1.3
2023-01-25,Paris Baguette,bánh cupcake,45000.0,1.3
2023-01-25,Paris Baguette,bánh mì sandwich,57000.0,1.3
2023-01-25,Paris Baguette,bánh croissant,26000.0,1.3
2023-01-25,Paris Baguette,bánh donut,29000.0,1.3
2023-01-25,Local Bakery,bánh sinh nhật,447000.0,1.3
2023-01-25,Local Bakery,bánh cupcake,47000.0,1.3
2023-01-25,Local Bakery,bánh mì sandwich,57000.0,1.3
2023-01-25,Local Bakery,bánh croissant,31000.0,1.3
2023-01-25,Local Bakery,bánh donut,24000.0,1.3
2023-01-26,ABC Bakery,bánh sinh nhật,347000.0,1.3
2023-01-26,ABC Bakery,bánh cupcake,45000.0,1.3
2023-01-26,ABC Bakery,bánh mì sandwich,60000.0,1.3
2023-01-26,ABC Bakery,bánh croissant,33000.0,1.3
2023-01-26,ABC Bakery,bánh donut,25000.0,1.3
2023-01-26,Paris Baguette,bánh sinh nhật,576000.0,1.3
2023-01-26,Paris Baguette,bánh cupcake,48000.0,1.3
2023-01-26,Paris Baguette,bánh mì sandwich,72000.0,1.3
2023-01-26,Paris Baguette,bánh croissant,32000.0,1.3
2023-01-26,Paris Baguette,bánh donut,25000.0,1.3
2023-01-26,Local Bakery,bánh sinh nhật,283000.0,1.3
2023-01-26,Local Bakery,bánh cupcake,47000.0,1.3
2023-01-26,Local Bakery,bánh mì sandwich,64000.0,1.3
2023-01-26,Local Bakery,bánh croissant,32000.0,1.3
2023-01-26,Local Bakery,bánh donut,28000.0,1.3
2023-01-27,ABC Bakery,bánh sinh nhật,360000.0,1.3
2023-01-27,ABC Bakery,bánh cupcake,49000.0,1.3
2023-01-27,ABC Bakery,bánh mì sandwich,66000.0,1.3
2023-01-27,ABC Bakery,bánh croissant,28000.0,1.3
2023-01-27,ABC Bakery,bánh donut,24000.0,1.3
2023-01-27,Paris Baguette,bánh sinh nhật,512000.0,1.3
2023-01-27,Paris Baguette,bánh cupcake,46000.0,1.3
2023-01-27,Paris Baguette,bánh mì sandwich,62000.0,1.3
2023-01-27,Paris Baguette,bánh croissant,25000.0,1.3
2023-01-27,Paris Baguette,bánh donut,30000.0,1.3
2023-01-27,Local Bakery,bánh sinh nhật,364000.0,1.3
2023-01-27,Local Bakery,bánh cupcake,42000.0,1.3
2023-01-27,Local Bakery,bánh mì sandwich,57000.0,1.3
2023-01-27,Local Bakery,bánh croissant,30000.0,1.3
2023-01-27,Local Bakery,bánh donut,26000.0,1.3
2023-01-28,ABC Bakery,bánh sinh nhật,503000.0,1.3
2023-01-28,ABC Bakery,bánh cupcake,42000.0,1.3
2023-01-28,ABC Bakery,bánh mì sandwich,65000.0,1.3
2023-01-28,ABC Bakery,bánh croissant,38000.0,1.3
2023-01-28,ABC Bakery,bánh donut,28000.0,1.3
2023-01-28,Paris Baguette,bánh sinh nhật,474000.0,1.3
2023-01-28,Paris Baguette,bánh cupcake,51000.0,1.3
2023-01-28,Paris Baguette,bánh mì sandwich,62000.0,1.3
2023-01-28,Paris Baguette,bánh croissant,40000.0,1.3
2023-01-28,Paris Baguette,bánh donut,24000.0,1.3
2023-01-28,Local Bakery,bánh sinh nhật,561000.0,1.3
2023-01-28,Local Bakery,bánh cupcake,45000.0,1.3
2023-01-28,Local Bakery,bánh mì sandwich,57000.0,1.3
2023-01-28,Local Bakery,bánh croissant,33000.0,1.3
2023-01-28,Local Bakery,bánh donut,23000.0,1.3
2023-01-29,ABC Bakery,bánh sinh nhật,537000.0,1.3
2023-01-29,ABC Bakery,bánh cupcake,40000.0,1.3
2023-01-29,ABC Bakery,bánh mì sandwich,54000.0,1.3
2023-01-29,ABC Bakery,bánh croissant,31000.0,1.3
2023-01-29,ABC Bakery,bánh donut,26000.0,1.3
2023-01-29,Paris Baguette,bánh sinh nhật,419000.0,1.3
2023-01-29,Paris Baguette,bánh cupcake,45000.0,1.3
2023-01-29,Paris Baguette,bánh mì sandwich,59000.0,1.3
2023-01-29,Paris Baguette,bánh croissant,27000.0,1.3
2023-01-29,Paris Baguette,bánh donut,25000.0,1.3
2023-01-29,Local Bakery,bánh sinh nhật,401000.0,1.3
2023-01-29,Local Bakery,bánh cupcake,40000.0,1.3
2023-01-29,Local Bakery,bánh mì sandwich,59000.0,1.3
2023-01-29,Local Bakery,bánh croissant,31000.0,1.3
2023-01-29,Local Bakery,bánh donut,25000.0,1.3
2023-01-30,ABC Bakery,bánh sinh nhật,464000.0,1.3
2023-01-30,ABC Bakery,bánh cupcake,57000.0,1.3
