date,ecommerce_total_revenue,ecommerce_avg_price,ecommerce_total_volume,ecommerce_seller_count,ecommerce_market_competition,ecommerce_price_trend,ecommerce_market_heat,online_vs_offline_ratio,delivery_demand_score
2023-02-12,2430519518961,153286.1952861953,16344451,176,0.69,stable,hot,0.39,76
2023-02-13,2393072456178,153299.31972789115,16207824,176,0.66,stable,hot,0.35,80
2023-02-14,2393072456178,153299.31972789115,16207824,176,0.6,stable,hot,0.22,93
2023-02-15,2393072456178,153299.31972789115,16207824,176,0.71,stable,hot,0.26,60
2023-02-16,2393072456178,153299.31972789115,16207824,176,0.78,stable,hot,0.28,80
2023-02-17,2393072456178,153299.31972789115,16207824,176,0.7,stable,hot,0.23,88
2023-02-18,2393072456178,153299.31972789115,16207824,176,0.63,stable,hot,0.27,91
2023-02-19,2393072456178,153299.31972789115,16207824,176,0.87,stable,hot,0.26,65
2023-02-20,2364924465113,153300.68728522336,16061649,176,0.62,stable,hot,0.38,90
2023-02-21,2364924465113,153300.68728522336,16061649,176,0.85,stable,hot,0.32,64
2023-02-22,2364924465113,153300.68728522336,16061649,176,0.72,stable,hot,0.38,61
2023-02-23,2364924465113,153300.68728522336,16061649,176,0.83,stable,hot,0.28,70
2023-02-24,2364924465113,153300.68728522336,16061649,176,0.73,stable,hot,0.36,88
2023-02-25,2364924465113,153300.68728522336,16061649,176,0.84,stable,hot,0.31,88
2023-02-26,2364924465113,153300.68728522336,16061649,176,0.81,stable,hot,0.35,65
2023-02-27,2336932560471,153329.86111111112,15922593,177,0.64,stable,hot,0.36,66
2023-02-28,2336932560471,153329.86111111112,15922593,177,0.69,stable,hot,0.31,92
2023-03-01,2336932560471,153329.86111111112,15922593,177,0.89,stable,hot,0.35,76
2023-03-02,2336932560471,153329.86111111112,15922593,177,0.66,stable,hot,0.29,71
2023-03-03,2336932560471,153329.86111111112,15922593,177,0.69,stable,hot,0.27,75
2023-03-04,2336932560471,153329.86111111112,15922593,177,0.82,stable,hot,0.29,91
2023-03-05,2336932560471,153329.86111111112,15922593,177,0.89,stable,hot,0.29,81
2023-03-06,2313083048599,153336.84210526315,15769647,176,0.73,stable,hot,0.34,81
2023-03-07,2313083048599,153336.84210526315,15769647,176,0.7,stable,hot,0.28,83
2023-03-08,2313083048599,153336.84210526315,15769647,176,0.83,stable,hot,0.35,73
2023-03-09,2313083048599,153336.84210526315,15769647,176,0.7,stable,hot,0.22,92
2023-03-10,2313083048599,153336.84210526315,15769647,176,0.87,stable,hot,0.28,72
2023-03-11,2313083048599,153336.84210526315,15769647,176,0.77,stable,hot,0.25,91
2023-03-12,2313083048599,153336.84210526315,15769647,176,0.7,stable,hot,0.3,81
2023-03-13,2289240540986,153418.43971631204,15598164,176,0.61,stable,hot,0.4,85
2023-03-14,2289240540986,153418.43971631204,15598164,176,0.89,stable,hot,0.26,85
2023-03-15,2289240540986,153418.43971631204,15598164,176,0.86,stable,hot,0.27,68
2023-03-16,2289240540986,153418.43971631204,15598164,176,0.75,stable,hot,0.22,80
2023-03-17,2289240540986,153418.43971631204,15598164,176,0.71,stable,hot,0.36,67
2023-03-18,2289240540986,153418.43971631204,15598164,176,0.77,stable,hot,0.37,89
2023-03-19,2289240540986,153418.43971631204,15598164,176,0.72,stable,hot,0.27,90
2023-03-20,2264833221098,153456.98924731184,15409012,176,0.68,stable,hot,0.26,69
2023-03-21,2264833221098,153456.98924731184,15409012,176,0.73,stable,hot,0.21,72
2023-03-22,2264833221098,153456.98924731184,15409012,176,0.76,stable,hot,0.39,75
2023-03-23,2264833221098,153456.98924731184,15409012,176,0.87,stable,hot,0.26,70
2023-03-24,2264833221098,153456.98924731184,15409012,176,0.67,stable,hot,0.39,87
2023-03-25,2264833221098,153456.98924731184,15409012,176,0.68,stable,hot,0.27,90
2023-03-26,2264833221098,153456.98924731184,15409012,176,0.88,stable,hot,0.36,64
2023-03-27,2252986873420,153438.40579710144,15250644,176,0.88,stable,hot,0.38,66
2023-03-28,2252986873420,153438.40579710144,15250644,176,0.88,stable,hot,0.2,91
2023-03-29,2252986873420,153438.40579710144,15250644,176,0.86,stable,hot,0.33,91
2023-03-30,2252986873420,153438.40579710144,15250644,176,0.69,stable,hot,0.3,78
2023-03-31,2252986873420,153438.40579710144,15250644,176,0.85,stable,hot,0.25,89
2023-04-01,2252986873420,153438.40579710144,15250644,176,0.87,stable,hot,0.23,92
2023-04-02,2252986873420,153438.40579710144,15250644,176,0.83,stable,hot,0.24,85
2023-04-03,2234010004801,153452.38095238095,15135347,176,0.71,stable,hot,0.32,79
2023-04-04,2234010004801,153452.38095238095,15135347,176,0.76,stable,hot,0.36,89
2023-04-05,2234010004801,153452.38095238095,15135347,176,0.86,stable,hot,0.21,79
2023-04-06,2234010004801,153452.38095238095,15135347,176,0.7,stable,hot,0.31,85
2023-04-07,2234010004801,153452.38095238095,15135347,176,0.69,stable,hot,0.39,66
2023-04-08,2234010004801,153452.38095238095,15135347,176,0.9,stable,hot,0.23,75
2023-04-09,2234010004801,153452.38095238095,15135347,176,0.75,stable,hot,0.27,81
2023-04-10,2201491640346,153557.40740740742,14968546,176,0.84,stable,hot,0.36,91
2023-04-11,2201491640346,153557.40740740742,14968546,176,0.62,stable,hot,0.31,60
2023-04-12,2201491640346,153557.40740740742,14968546,176,0.61,stable,hot,0.39,86
2023-04-13,2201491640346,153557.40740740742,14968546,176,0.76,stable,hot,0.29,80
2023-04-14,2201491640346,153557.40740740742,14968546,176,0.75,stable,hot,0.27,76
2023-04-15,2201491640346,153557.40740740742,14968546,176,0.76,stable,hot,0.37,83
2023-04-16,2201491640346,153557.40740740742,14968546,176,0.6,stable,hot,0.3,88
2023-04-17,2189134105622,153606.7415730337,14866953,176,0.61,stable,hot,0.31,64
2023-04-18,2189134105622,153606.7415730337,14866953,176,0.75,stable,hot,0.29,78
2023-04-19,2189134105622,153606.7415730337,14866953,176,0.8,stable,hot,0.35,82
2023-04-20,2189134105622,153606.7415730337,14866953,176,0.88,stable,hot,0.36,74
2023-04-21,2189134105622,153606.7415730337,14866953,176,0.64,stable,hot,0.22,71
2023-04-22,2189134105622,153606.7415730337,14866953,176,0.75,stable,hot,0.2,89
2023-04-23,2189134105622,153606.7415730337,14866953,176,0.9,stable,hot,0.23,84
2023-04-24,2180479745565,153634.4696969697,14767261,177,0.72,stable,hot,0.37,76
2023-04-25,2180479745565,153634.4696969697,14767261,177,0.82,stable,hot,0.33,89
2023-04-26,2180479745565,153634.4696969697,14767261,177,0.85,stable,hot,0.21,64
2023-04-27,2180479745565,153634.4696969697,14767261,177,0.74,stable,hot,0.28,67
2023-04-28,2180479745565,153634.4696969697,14767261,177,0.87,stable,hot,0.27,77
2023-04-29,2180479745565,153634.4696969697,14767261,177,0.82,stable,hot,0.29,91
2023-04-30,2180479745565,153634.4696969697,14767261,177,0.86,stable,hot,0.39,64
2023-05-01,2154347090767,153747.1264367816,14590297,176,0.81,stable,hot,0.22,70
2023-05-02,2154347090767,153747.1264367816,14590297,176,0.89,stable,hot,0.36,72
2023-05-03,2154347090767,153747.1264367816,14590297,176,0.84,stable,hot,0.2,62
2023-05-04,2154347090767,153747.1264367816,14590297,176,0.79,stable,hot,0.26,71
2023-05-05,2154347090767,153747.1264367816,14590297,176,0.82,stable,hot,0.28,84
2023-05-06,2154347090767,153747.1264367816,14590297,176,0.64,stable,hot,0.34,74
2023-05-07,2154347090767,153747.1264367816,14590297,176,0.73,stable,hot,0.3,69
2023-05-08,2134619102403,153788.75968992247,14460601,176,0.84,stable,hot,0.36,74
2023-05-09,2134619102403,153788.75968992247,14460601,176,0.62,stable,hot,0.23,71
2023-05-10,2134619102403,153788.75968992247,14460601,176,0.61,stable,hot,0.34,73
2023-05-11,2134619102403,153788.75968992247,14460601,176,0.86,stable,hot,0.26,66
2023-05-12,2134619102403,153788.75968992247,14460601,176,0.7,stable,hot,0.21,82
2023-05-13,2134619102403,153788.75968992247,14460601,176,0.61,stable,hot,0.31,66
2023-05-14,2134619102403,153788.75968992247,14460601,176,0.84,stable,hot,0.37,93
2023-05-15,2112884175886,153847.0588235294,14340606,176,0.8,stable,hot,0.36,80
2023-05-16,2112884175886,153847.0588235294,14340606,176,0.64,stable,hot,0.33,90
2023-05-17,2112884175886,153847.0588235294,14340606,176,0.7,stable,hot,0.31,79
2023-05-18,2112884175886,153847.0588235294,14340606,176,0.87,stable,hot,0.35,69
2023-05-19,2112884175886,153847.0588235294,14340606,176,0.82,stable,hot,0.31,89
2023-05-20,2112884175886,153847.0588235294,14340606,176,0.68,stable,hot,0.34,90
2023-05-21,2112884175886,153847.0588235294,14340606,176,0.72,stable,hot,0.21,82
2023-05-22,2095505917451,153859.12698412698,14217800,177,0.7,stable,hot,0.28,79
2023-05-23,2095505917451,153859.12698412698,14217800,177,0.65,stable,hot,0.33,85
2023-05-24,2095505917451,153859.12698412698,14217800,177,0.72,stable,hot,0.39,66
2023-05-25,2095505917451,153859.12698412698,14217800,177,0.74,stable,hot,0.38,74
2023-05-26,2095505917451,153859.12698412698,14217800,177,0.64,stable,hot,0.22,76
2023-05-27,2095505917451,153859.12698412698,14217800,177,0.63,stable,hot,0.32,73
2023-05-28,2095505917451,153859.12698412698,14217800,177,0.76,stable,hot,0.22,92
2023-05-29,2074239169071,153941.7670682731,14068513,177,0.75,stable,hot,0.27,69
2023-05-30,2074239169071,153941.7670682731,14068513,177,0.71,stable,hot,0.33,66
2023-05-31,2074239169071,153941.7670682731,14068513,177,0.85,stable,hot,0.27,86
2023-06-01,2074239169071,153941.7670682731,14068513,177,0.84,stable,hot,0.39,64
2023-06-02,2074239169071,153941.7670682731,14068513,177,0.8,stable,hot,0.2,74
2023-06-03,2074239169071,153941.7670682731,14068513,177,0.87,stable,hot,0.28,61
2023-06-04,2074239169071,153941.7670682731,14068513,177,0.88,stable,hot,0.29,95
2023-06-05,2060310765348,154034.55284552847,13977821,177,0.72,stable,hot,0.23,93
2023-06-06,2060310765348,154034.55284552847,13977821,177,0.62,stable,hot,0.3,66
2023-06-07,2060310765348,154034.55284552847,13977821,177,0.81,stable,hot,0.31,89
2023-06-08,2060310765348,154034.55284552847,13977821,177,0.65,stable,hot,0.27,67
2023-06-09,2060310765348,154034.55284552847,13977821,177,0.61,stable,hot,0.36,94
2023-06-10,2060310765348,154034.55284552847,13977821,177,0.66,stable,hot,0.37,74
2023-06-11,2060310765348,154034.55284552847,13977821,177,0.82,stable,hot,0.4,93
2023-06-12,2042656688858,154098.76543209876,13816697,177,0.88,stable,hot,0.27,73
2023-06-13,2042656688858,154098.76543209876,13816697,177,0.61,stable,hot,0.37,92
2023-06-14,2042656688858,154098.76543209876,13816697,177,0.81,stable,hot,0.29,85
2023-06-15,2042656688858,154098.76543209876,13816697,177,0.61,stable,hot,0.32,65
2023-06-16,2042656688858,154098.76543209876,13816697,177,0.66,stable,hot,0.29,78
2023-06-17,2042656688858,154098.76543209876,13816697,177,0.65,stable,hot,0.37,87
2023-06-18,2042656688858,154098.76543209876,13816697,177,0.66,stable,hot,0.23,60
2023-06-19,2003879239169,154058.33333333334,13643466,177,0.72,stable,hot,0.33,94
2023-06-20,2003879239169,154058.33333333334,13643466,177,0.7,stable,hot,0.35,87
2023-06-21,2003879239169,154058.33333333334,13643466,177,0.64,stable,hot,0.35,80
2023-06-22,2003879239169,154058.33333333334,13643466,177,0.78,stable,hot,0.29,83
2023-06-23,2003879239169,154058.33333333334,13643466,177,0.77,stable,hot,0.32,92
2023-06-24,2003879239169,154058.33333333334,13643466,177,0.88,stable,hot,0.34,61
2023-06-25,2003879239169,154058.33333333334,13643466,177,0.86,stable,hot,0.25,88
2023-06-26,1978013086492,154113.92405063292,13440324,176,0.89,stable,hot,0.25,72
2023-06-27,1978013086492,154113.92405063292,13440324,176,0.72,stable,hot,0.3,82
2023-06-28,1978013086492,154113.92405063292,13440324,176,0.68,stable,hot,0.23,91
2023-06-29,1978013086492,154113.92405063292,13440324,176,0.73,stable,hot,0.3,82
2023-06-30,1978013086492,154113.92405063292,13440324,176,0.68,stable,hot,0.38,63
2023-07-01,1978013086492,154113.92405063292,13440324,176,0.88,stable,hot,0.32,95
2023-07-02,1978013086492,154113.92405063292,13440324,176,0.73,stable,hot,0.3,60
2023-07-03,1951913583707,154091.88034188034,13232988,176,0.7,stable,hot,0.2,60
2023-07-04,1951913583707,154091.88034188034,13232988,176,0.8,stable,hot,0.36,90
2023-07-05,1951913583707,154091.88034188034,13232988,176,0.6,stable,hot,0.36,83
2023-07-06,1951913583707,154091.88034188034,13232988,176,0.81,stable,hot,0.24,70
2023-07-07,1951913583707,154091.88034188034,13232988,176,0.65,stable,hot,0.22,90
2023-07-08,1951913583707,154091.88034188034,13232988,176,0.78,stable,hot,0.25,60
2023-07-09,1951913583707,154091.88034188034,13232988,176,0.87,stable,hot,0.33,77
2023-07-10,1935734226658,154166.66666666666,13049681,176,0.67,stable,hot,0.21,62
2023-07-11,1935734226658,154166.66666666666,13049681,176,0.73,stable,hot,0.21,73
2023-07-12,1935734226658,154166.66666666666,13049681,176,0.72,stable,hot,0.25,85
2023-07-13,1935734226658,154166.66666666666,13049681,176,0.75,stable,hot,0.29,69
2023-07-14,1935734226658,154166.66666666666,13049681,176,0.64,stable,hot,0.26,72
2023-07-15,1935734226658,154166.66666666666,13049681,176,0.71,stable,hot,0.28,70
2023-07-16,1935734226658,154166.66666666666,13049681,176,0.67,stable,hot,0.22,91
2023-07-17,1922416289085,154184.2105263158,12919598,177,0.82,stable,hot,0.22,79
2023-07-18,1922416289085,154184.2105263158,12919598,177,0.62,stable,hot,0.28,64
2023-07-19,1922416289085,154184.2105263158,12919598,177,0.81,stable,hot,0.39,75
2023-07-20,1922416289085,154184.2105263158,12919598,177,0.66,stable,hot,0.35,62
2023-07-21,1922416289085,154184.2105263158,12919598,177,0.81,stable,hot,0.26,76
2023-07-22,1922416289085,154184.2105263158,12919598,177,0.85,stable,hot,0.29,79
2023-07-23,1922416289085,154184.2105263158,12919598,177,0.88,stable,hot,0.38,67
2023-07-24,1908164696900,154224.44444444444,12684610,176,0.86,stable,hot,0.34,64
2023-07-25,1908164696900,154224.44444444444,12684610,176,0.77,stable,hot,0.25,85
2023-07-26,1908164696900,154224.44444444444,12684610,176,0.62,stable,hot,0.35,78
2023-07-27,1908164696900,154224.44444444444,12684610,176,0.81,stable,hot,0.39,88
2023-07-28,1908164696900,154224.44444444444,12684610,176,0.72,stable,hot,0.32,77
2023-07-29,1908164696900,154224.44444444444,12684610,176,0.68,stable,hot,0.24,73
2023-07-30,1908164696900,154224.44444444444,12684610,176,0.61,stable,hot,0.35,72
2023-07-31,1891378012419,154259.00900900902,12499417,176,0.68,stable,hot,0.24,85
2023-08-01,1891378012419,154259.00900900902,12499417,176,0.85,stable,hot,0.26,89
2023-08-02,1891378012419,154259.00900900902,12499417,176,0.79,stable,hot,0.33,85
2023-08-03,1891378012419,154259.00900900902,12499417,176,0.71,stable,hot,0.38,91
2023-08-04,1891378012419,154259.00900900902,12499417,176,0.87,stable,hot,0.31,71
2023-08-05,1891378012419,154259.00900900902,12499417,176,0.88,stable,hot,0.35,79
2023-08-06,1891378012419,154259.00900900902,12499417,176,0.65,stable,hot,0.36,93
2023-08-07,1869654807472,154310.50228310502,12336562,176,0.67,stable,hot,0.39,66
2023-08-08,1869654807472,154310.50228310502,12336562,176,0.67,stable,hot,0.35,63
2023-08-09,1869654807472,154310.50228310502,12336562,176,0.65,stable,hot,0.32,66
2023-08-10,1869654807472,154310.50228310502,12336562,176,0.9,stable,hot,0.26,75
2023-08-11,1869654807472,154310.50228310502,12336562,176,0.77,stable,hot,0.36,74
2023-08-12,1869654807472,154310.50228310502,12336562,176,0.82,stable,hot,0.3,80
2023-08-13,1869654807472,154310.50228310502,12336562,176,0.8,stable,hot,0.24,72
2023-08-14,1860980595552,154446.75925925927,12251683,176,0.7,stable,hot,0.24,87
2023-08-15,1860980595552,154446.75925925927,12251683,176,0.65,stable,hot,0.24,92
2023-08-16,1860980595552,154446.75925925927,12251683,176,0.65,stable,hot,0.28,85
2023-08-17,1860980595552,154446.75925925927,12251683,176,0.76,stable,hot,0.38,66
2023-08-18,1860980595552,154446.75925925927,12251683,176,0.69,stable,hot,0.33,67
2023-08-19,1860980595552,154446.75925925927,12251683,176,0.76,stable,hot,0.37,60
2023-08-20,1860980595552,154446.75925925927,12251683,176,0.84,stable,hot,0.34,79
2023-08-21,1830606748260,154629.10798122064,11994158,176,0.75,stable,hot,0.22,90
2023-08-22,1830606748260,154629.10798122064,11994158,176,0.88,stable,hot,0.28,89
2023-08-23,1830606748260,154629.10798122064,11994158,176,0.82,stable,hot,0.34,89
2023-08-24,1830606748260,154629.10798122064,11994158,176,0.82,stable,hot,0.4,67
2023-08-25,1830606748260,154629.10798122064,11994158,176,0.8,stable,hot,0.34,76
2023-08-26,1830606748260,154629.10798122064,11994158,176,0.88,stable,hot,0.32,78
2023-08-27,1830606748260,154629.10798122064,11994158,176,0.64,stable,hot,0.38,64
2023-08-28,1810061515735,154700.0,11823011,176,0.67,stable,hot,0.21,78
2023-08-29,1810061515735,154700.0,11823011,176,0.89,stable,hot,0.32,79
2023-08-30,1810061515735,154700.0,11823011,176,0.88,stable,hot,0.34,85
2023-08-31,1810061515735,154700.0,11823011,176,0.62,stable,hot,0.39,87
2023-09-01,1810061515735,154700.0,11823011,176,0.75,stable,hot,0.32,79
2023-09-02,1810061515735,154700.0,11823011,176,0.73,stable,hot,0.25,65
2023-09-03,1810061515735,154700.0,11823011,176,0.86,stable,hot,0.22,86
2023-09-04,1784183413329,154685.99033816427,11706085,176,0.82,stable,hot,0.4,74
2023-09-05,1784183413329,154685.99033816427,11706085,176,0.83,stable,hot,0.28,92
2023-09-06,1784183413329,154685.99033816427,11706085,176,0.81,stable,hot,0.28,77
2023-09-07,1784183413329,154685.99033816427,11706085,176,0.83,stable,hot,0.35,80
2023-09-08,1784183413329,154685.99033816427,11706085,176,0.68,stable,hot,0.36,94
2023-09-09,1784183413329,154685.99033816427,11706085,176,0.61,stable,hot,0.32,74
2023-09-10,1784183413329,154685.99033816427,11706085,176,0.81,stable,hot,0.3,74
2023-09-11,1751694461927,154740.19607843139,11550730,176,0.67,stable,hot,0.26,69
2023-09-12,1751694461927,154740.19607843139,11550730,176,0.72,stable,hot,0.33,71
2023-09-13,1751694461927,154740.19607843139,11550730,176,0.73,stable,hot,0.34,60
2023-09-14,1751694461927,154740.19607843139,11550730,176,0.88,stable,hot,0.3,82
2023-09-15,1751694461927,154740.19607843139,11550730,176,0.81,stable,hot,0.37,77
2023-09-16,1751694461927,154740.19607843139,11550730,176,0.88,stable,hot,0.36,72
2023-09-17,1751694461927,154740.19607843139,11550730,176,0.87,stable,hot,0.3,70
2023-09-18,1731294605491,154738.80597014926,11454146,177,0.66,stable,hot,0.34,67
2023-09-19,1731294605491,154738.80597014926,11454146,177,0.86,stable,hot,0.38,75
2023-09-20,1731294605491,154738.80597014926,11454146,177,0.63,stable,hot,0.32,88
2023-09-21,1731294605491,154738.80597014926,11454146,177,0.76,stable,hot,0.33,65
2023-09-22,1731294605491,154738.80597014926,11454146,177,0.8,stable,hot,0.39,93
2023-09-23,1731294605491,154738.80597014926,11454146,177,0.87,stable,hot,0.3,71
2023-09-24,1731294605491,154738.80597014926,11454146,177,0.81,stable,hot,0.21,72
2023-09-25,1707721637328,154780.30303030304,11287724,177,0.81,stable,hot,0.32,62
2023-09-26,1707721637328,154780.30303030304,11287724,177,0.89,stable,hot,0.37,85
2023-09-27,1707721637328,154780.30303030304,11287724,177,0.73,stable,hot,0.39,65
2023-09-28,1707721637328,154780.30303030304,11287724,177,0.68,stable,hot,0.27,61
2023-09-29,1707721637328,154780.30303030304,11287724,177,0.77,stable,hot,0.35,78
2023-09-30,1707721637328,154780.30303030304,11287724,177,0.74,stable,hot,0.21,85
2023-10-01,1707721637328,154780.30303030304,11287724,177,0.75,stable,hot,0.29,73
2023-10-02,1695395148493,154717.94871794872,11189078,178,0.66,stable,hot,0.3,84
2023-10-03,1695395148493,154717.94871794872,11189078,178,0.76,stable,hot,0.21,74
2023-10-04,1695395148493,154717.94871794872,11189078,178,0.81,stable,hot,0.37,90
2023-10-05,1695395148493,154717.94871794872,11189078,178,0.85,stable,hot,0.2,77
2023-10-06,1695395148493,154717.94871794872,11189078,178,0.74,stable,hot,0.31,65
2023-10-07,1695395148493,154717.94871794872,11189078,178,0.65,stable,hot,0.28,77
2023-10-08,1695395148493,154717.94871794872,11189078,178,0.74,stable,hot,0.39,85
2023-10-09,1679855921545,154875.0,11047171,178,0.7,stable,hot,0.3,67
2023-10-10,1679855921545,154875.0,11047171,178,0.78,stable,hot,0.24,60
2023-10-11,1679855921545,154875.0,11047171,178,0.84,stable,hot,0.33,60
2023-10-12,1679855921545,154875.0,11047171,178,0.76,stable,hot,0.32,85
2023-10-13,1679855921545,154875.0,11047171,178,0.69,stable,hot,0.23,62
2023-10-14,1679855921545,154875.0,11047171,178,0.7,stable,hot,0.23,62
2023-10-15,1679855921545,154875.0,11047171,178,0.9,stable,hot,0.31,78
2023-10-16,1653635405498,154873.0158730159,10863653,179,0.65,stable,hot,0.32,87
2023-10-17,1653635405498,154873.0158730159,10863653,179,0.7,stable,hot,0.26,71
2023-10-18,1653635405498,154873.0158730159,10863653,179,0.9,stable,hot,0.34,62
2023-10-19,1653635405498,154873.0158730159,10863653,179,0.69,stable,hot,0.28,81
2023-10-20,1653635405498,154873.0158730159,10863653,179,0.76,stable,hot,0.26,71
2023-10-21,1653635405498,154873.0158730159,10863653,179,0.77,stable,hot,0.3,91
2023-10-22,1653635405498,154873.0158730159,10863653,179,0.84,stable,hot,0.28,78
2023-10-23,1617741799745,154795.69892473117,10692357,178,0.84,stable,hot,0.24,82
2023-10-24,1617741799745,154795.69892473117,10692357,178,0.88,stable,hot,0.28,70
2023-10-25,1617741799745,154795.69892473117,10692357,178,0.76,stable,hot,0.36,65
2023-10-26,1617741799745,154795.69892473117,10692357,178,0.66,stable,hot,0.39,93
2023-10-27,1617741799745,154795.69892473117,10692357,178,0.78,stable,hot,0.27,80
2023-10-28,1617741799745,154795.69892473117,10692357,178,0.65,stable,hot,0.38,82
2023-10-29,1617741799745,154795.69892473117,10692357,178,0.83,stable,hot,0.21,69
2023-10-30,1594096033925,154786.88524590165,10584408,179,0.79,stable,hot,0.35,66
2023-10-31,1594096033925,154786.88524590165,10584408,179,0.64,stable,hot,0.28,86
2023-11-01,1594096033925,154786.88524590165,10584408,179,0.86,stable,hot,0.26,60
2023-11-02,1594096033925,154786.88524590165,10584408,179,0.75,stable,hot,0.31,67
2023-11-03,1594096033925,154786.88524590165,10584408,179,0.62,stable,hot,0.28,94
2023-11-04,1594096033925,154786.88524590165,10584408,179,0.64,stable,hot,0.31,69
2023-11-05,1594096033925,154786.88524590165,10584408,179,0.78,stable,hot,0.31,86
2023-11-06,1563532042436,154797.22222222222,10376286,178,0.81,stable,hot,0.39,84
2023-11-07,1563532042436,154797.22222222222,10376286,178,0.84,stable,hot,0.33,71
2023-11-08,1563532042436,154797.22222222222,10376286,178,0.85,stable,hot,0.35,83
2023-11-09,1563532042436,154797.22222222222,10376286,178,0.71,stable,hot,0.37,79
2023-11-10,1563532042436,154797.22222222222,10376286,178,0.69,stable,hot,0.24,74
2023-11-11,1563532042436,154797.22222222222,10376286,178,0.65,stable,hot,0.38,73
2023-11-12,1563532042436,154797.22222222222,10376286,178,0.73,stable,hot,0.24,67
2023-11-13,1545542417830,154762.71186440677,10189489,178,0.83,stable,hot,0.29,72
2023-11-14,1545542417830,154762.71186440677,10189489,178,0.64,stable,hot,0.32,94
2023-11-15,1545542417830,154762.71186440677,10189489,178,0.61,stable,hot,0.37,73
2023-11-16,1545542417830,154762.71186440677,10189489,178,0.64,stable,hot,0.31,68
2023-11-17,1545542417830,154762.71186440677,10189489,178,0.86,stable,hot,0.25,94
