date,google_banh_sinh_nhat,google_banh_mi,google_tiem_banh,social_engagement_score,facebook_reach_index,instagram_hashtag_volume,tiktok_video_count,youtube_view_trend,ecommerce_search_volume,online_bakery_competition,delivery_trend_score,overall_digital_interest,trend_momentum,seasonal_digital_boost,month,adjusted_digital_interest
2023-04-20,91,34,53,97,70,580,259,9828,2695,44,61,595.6,0.8836692945247088,1.0,4,595.6
2023-04-21,30,80,74,42,51,791,220,29408,4129,72,90,874.2,0.8548406578204457,1.0,4,874.2
2023-04-22,57,80,38,87,64,718,413,3576,2895,92,65,636.8,0.9088771000998018,1.0,4,636.8
2023-04-23,48,56,23,41,67,433,166,26849,1719,83,71,387.0,1.017447870433145,1.0,4,387.0
2023-04-24,31,69,26,49,78,969,12,45007,1570,58,70,357.8,0.9315181638169426,1.0,4,357.8
2023-04-25,52,64,26,81,77,184,167,8513,4643,99,85,985.0,0.8882283032231233,1.0,4,985.0
2023-04-26,35,48,29,77,82,734,431,8020,3121,74,89,674.0,0.8530453218143159,1.0,4,674.0
2023-04-27,53,55,58,45,70,926,294,32429,4044,86,75,854.4,1.0578803535417716,1.0,4,854.4
2023-04-28,63,73,18,93,76,699,39,43226,1605,74,83,383.4,0.9622198464660066,1.0,4,383.4
2023-04-29,49,89,56,46,71,139,200,11048,3464,78,71,743.8,1.1277888983526427,1.0,4,743.8
2023-04-30,95,38,49,84,58,458,406,4264,3756,92,60,806.6,1.0082550668544845,1.0,4,806.6
2023-05-01,80,88,69,78,59,605,178,19011,3171,23,61,695.6,1.0264650679726293,1.0,5,695.6
2023-05-02,79,62,77,90,79,745,159,43479,4381,41,88,940.0,1.0823292579442125,1.0,5,940.0
2023-05-03,80,40,35,46,92,627,90,24532,1616,89,71,370.6,1.1864205645275656,1.0,5,370.6
2023-05-04,84,85,53,72,79,664,264,25505,3208,32,61,702.0,0.906941613159473,1.0,5,702.0
2023-05-05,55,73,41,45,70,751,387,36047,1741,32,79,398.6,1.1904975877545954,1.0,5,398.6
2023-05-06,59,52,36,61,51,110,68,20392,2254,39,75,500.2,1.1636897561607418,1.0,5,500.2
2023-05-07,45,88,26,87,73,785,28,26940,2425,61,90,547.0,1.0645354594853966,1.0,5,547.0
2023-05-08,88,83,17,44,85,168,405,37392,1540,25,65,364.0,0.9913564963181415,1.0,5,364.0
2023-05-09,87,78,35,47,62,157,281,4261,2958,44,79,649.8,1.0088192613073834,1.0,5,649.8
2023-05-10,52,55,34,94,77,155,359,33246,626,40,66,178.6,1.198160472552765,1.0,5,178.6
2023-05-11,67,71,53,91,94,217,354,38611,2671,37,81,596.2,0.854332136873927,1.0,5,596.2
2023-05-12,92,37,60,94,81,324,85,9101,3465,44,84,754.4,1.0460801704260734,1.0,5,754.4
2023-05-13,21,32,22,79,92,846,328,47665,1501,80,93,345.2,1.1044930035799057,1.0,5,345.2
2023-05-14,97,69,27,90,55,433,281,10788,4419,20,99,954.8,0.8256520411900397,1.0,5,954.8
2023-05-15,25,34,63,41,57,502,137,24751,1753,78,83,387.2,1.1002556063293258,1.0,5,387.2
2023-05-16,40,59,50,85,56,958,309,36030,1879,91,62,425.0,1.0489275917057663,1.0,5,425.0
2023-05-17,62,69,72,92,57,831,228,47446,2848,42,81,630.4,0.8513296288661616,1.0,5,630.4
2023-05-18,85,71,20,68,78,847,409,27614,841,55,71,227.2,0.9858648644897277,1.0,5,227.2
2023-05-19,20,50,26,46,59,413,303,13381,4222,45,94,886.4,0.8212487605911978,1.0,5,886.4
2023-05-20,22,55,76,77,52,649,250,9352,3138,29,62,670.8,1.140795216186261,1.0,5,670.8
2023-05-21,64,83,19,98,87,984,341,15060,4235,92,66,909.2,1.1050666243104414,1.0,5,909.2
2023-05-22,63,66,36,49,54,365,64,20008,3350,24,95,724.6,1.1434387307693423,1.0,5,724.6
2023-05-23,97,39,48,53,74,432,199,13447,801,90,78,213.6,1.1744576616357116,1.0,5,213.6
2023-05-24,23,66,27,90,91,510,233,47723,2764,29,71,602.8,1.0556249902903756,1.0,5,602.8
2023-05-25,63,64,16,91,83,716,491,29567,3315,93,85,723.6,0.9908041069749387,1.0,5,723.6
2023-05-26,46,58,73,77,60,828,408,48660,4857,83,90,1025.6,0.9882948325688349,1.0,5,1025.6
2023-05-27,31,33,31,44,90,104,244,5540,2986,55,74,633.6,1.0595911129805031,1.0,5,633.6
2023-05-28,25,78,36,63,62,921,429,49215,2055,84,70,458.2,1.1407680645458518,1.0,5,458.2
2023-05-29,38,67,43,61,65,128,142,43835,2920,51,93,635.8,0.9620382281574799,1.0,5,635.8
2023-05-30,30,85,71,89,93,367,312,44136,1881,48,79,432.8,1.0095050330637114,1.0,5,432.8
2023-05-31,24,83,55,79,73,410,409,37053,4961,68,98,1049.0,0.881518358864537,1.0,5,1049.0
2023-06-01,66,66,66,51,83,494,374,10621,2473,89,65,544.2,1.1233847230046374,0.9,6,489.78000000000003
2023-06-02,73,75,39,71,74,262,28,21362,2638,38,75,586.4,1.0930265779930057,0.9,6,527.76
2023-06-03,45,40,40,86,52,697,317,21548,3394,91,70,727.0,0.8325267781859138,0.9,6,654.3000000000001
2023-06-04,79,59,42,99,86,791,38,31991,4989,31,93,1063.8,1.0111522794579686,0.9,6,957.42
2023-06-05,54,66,31,95,57,248,446,49371,3196,42,71,696.4,0.9871401160622417,0.9,6,626.76
2023-06-06,20,68,79,54,96,466,309,32626,3932,66,66,828.0,1.044087012053024,0.9,6,745.2
2023-06-07,45,77,51,89,87,289,51,13371,3830,38,83,824.8,1.0205863046536126,0.9,6,742.3199999999999
2023-06-08,84,40,16,67,62,761,135,35623,2452,35,61,540.8,0.8013794490812283,0.9,6,486.71999999999997
2023-06-09,71,82,67,67,63,931,241,21241,758,63,71,209.8,1.1663519306493322,0.9,6,188.82000000000002
2023-06-10,77,81,69,66,88,421,389,10666,3857,37,68,829.8,1.1071419306314036,0.9,6,746.8199999999999
2023-06-11,28,82,37,59,72,666,315,24713,4607,47,98,974.8,0.8916001478236576,0.9,6,877.3199999999999
2023-06-12,31,51,76,40,76,547,50,47106,4907,67,70,1019.8,1.0565052987753525,0.9,6,917.8199999999999
2023-06-13,43,37,24,99,64,184,486,3886,4094,29,97,874.0,0.8711349433079784,0.9,6,786.6
2023-06-14,89,52,62,85,85,296,399,2054,3393,89,76,739.0,1.113390630077802,0.9,6,665.1
2023-06-15,29,38,28,42,64,753,221,2114,539,55,61,141.8,0.9793476052212313,0.9,6,127.62000000000002
2023-06-16,89,41,22,43,64,450,241,49919,1195,68,80,289.6,1.1865157080185678,0.9,6,260.64000000000004
2023-06-17,70,80,70,52,78,852,146,22705,4608,23,69,975.8,1.1599492154479378,0.9,6,878.22
2023-06-18,54,32,45,45,78,366,253,25051,1925,78,84,428.0,1.1680434780776696,0.9,6,385.2
2023-06-19,46,87,47,95,57,163,231,21308,2620,54,65,582.6,0.822868040144298,0.9,6,524.34
2023-06-20,85,66,65,76,96,936,190,11061,4743,23,60,1006.0,0.8957286518403459,0.9,6,905.4
2023-06-21,56,70,62,78,97,993,16,44850,2168,87,94,493.2,0.8951301307521419,0.9,6,443.88
2023-06-22,22,85,58,79,99,198,278,19684,4089,81,61,867.2,1.0101992149830779,0.9,6,780.48
2023-06-23,82,66,20,63,50,193,398,42391,902,86,62,235.0,1.1241348192149634,0.9,6,211.5
2023-06-24,98,58,25,73,61,205,221,44233,1777,72,85,418.2,0.9626377462877191,0.9,6,376.38
2023-06-25,24,55,47,87,69,571,469,6153,930,24,69,233.0,1.0252702512694385,0.9,6,209.70000000000002
2023-06-26,25,80,37,50,76,949,59,31904,4630,49,69,970.8,0.9833418567065456,0.9,6,873.72
2023-06-27,26,44,20,93,82,629,264,38630,4764,59,88,1003.0,0.8345855720663595,0.9,6,902.7
2023-06-28,65,86,76,85,54,554,389,5284,2709,47,69,602.8,1.1511490604057784,0.9,6,542.52
2023-06-29,55,74,79,84,87,977,265,31745,4906,96,88,1041.4,0.8553153499803101,0.9,6,937.2600000000001
2023-06-30,51,63,55,51,91,132,480,12959,2450,66,66,536.2,1.169494348712975,0.9,6,482.58000000000004
2023-07-01,87,40,66,42,69,343,239,18273,3161,53,68,679.6,0.8460375554994758,0.9,7,611.64
2023-07-02,80,40,19,99,69,274,216,14743,3574,37,60,770.6,1.0398792364263707,0.9,7,693.5400000000001
2023-07-03,51,63,45,66,95,451,271,9829,3915,39,94,837.8,1.148610850262205,0.9,7,754.02
2023-07-04,75,66,42,62,86,247,396,30349,2332,46,85,524.0,1.092970961177814,0.9,7,471.6
2023-07-05,23,62,75,96,63,571,459,30792,691,65,74,189.2,1.1293430795744652,0.9,7,170.28
2023-07-06,37,89,58,99,91,858,185,28720,4022,68,98,869.0,1.0769851305618519,0.9,7,782.1
2023-07-07,34,72,69,96,84,496,340,8048,2662,89,75,587.8,1.0924019699119514,0.9,7,529.02
2023-07-08,64,58,45,90,65,745,51,26359,3374,78,64,730.0,1.1678027203596828,0.9,7,657.0
2023-07-09,49,69,16,41,82,349,71,18135,3455,61,61,735.0,1.1246063973276237,0.9,7,661.5
2023-07-10,73,30,18,47,63,944,277,35913,3398,43,71,723.8,0.8541163466040261,0.9,7,651.42
2023-07-11,35,33,37,59,68,978,312,33611,3797,31,97,804.2,0.8162051847555367,0.9,7,723.7800000000001
2023-07-12,38,59,56,51,57,838,363,8140,1999,64,99,449.2,1.018288548421784,0.9,7,404.28
2023-07-13,68,38,41,71,83,906,483,31446,3931,75,94,840.4,1.0346753819725958,0.9,7,756.36
2023-07-14,54,31,32,97,77,325,268,13887,1619,89,90,378.2,1.0741210798172998,0.9,7,340.38
2023-07-15,77,38,18,93,90,733,339,1439,3756,28,84,809.6,1.0092669907177845,0.9,7,728.64
2023-07-16,33,74,15,52,98,243,319,19558,4508,20,68,947.0,1.1158843226274813,0.9,7,852.3000000000001
2023-07-17,52,72,44,79,60,164,210,18596,4109,78,92,880.8,1.080250345266057,0.9,7,792.72
2023-07-18,91,30,55,69,80,394,291,3801,3018,86,97,661.0,1.0406086657978293,0.9,7,594.9
2023-07-19,63,37,61,70,81,102,409,38592,4662,98,91,984.6,0.8543750491930203,0.9,7,886.14
2023-07-20,74,38,57,45,58,385,400,3836,1953,67,98,441.6,0.9587156560383555,0.9,7,397.44000000000005
2023-07-21,45,79,49,94,57,910,361,49841,2294,21,82,518.8,0.963210615004144,0.9,7,466.91999999999996
2023-07-22,89,75,77,74,98,524,353,32704,3842,20,90,834.0,0.964008400770346,0.9,7,750.6
2023-07-23,38,52,52,92,82,765,171,23852,3937,84,86,841.0,0.983653369996917,0.9,7,756.9
2023-07-24,49,48,25,66,76,274,33,40294,4963,95,73,1039.8,0.8460189423956672,0.9,7,935.8199999999999
2023-07-25,44,76,43,76,82,640,117,10114,3398,35,60,730.8,0.8210963982464616,0.9,7,657.72
2023-07-26,99,71,24,64,73,578,221,2287,4654,77,76,992.8,1.1193805230454328,0.9,7,893.52
2023-07-27,37,82,62,42,66,979,308,41151,2533,84,65,551.8,1.109837108224026,0.9,7,496.61999999999995
2023-07-28,67,81,40,72,86,293,250,47384,4295,24,78,918.6,0.8389375423528863,0.9,7,826.74
2023-07-29,37,58,42,89,95,582,469,44715,1759,84,77,404.0,1.0859863753023928,0.9,7,363.6
2023-07-30,68,77,50,78,71,506,194,10472,2931,67,69,644.6,1.15277042898075,0.9,7,580.14
2023-07-31,72,33,58,94,90,464,97,30201,3788,20,90,815.4,0.9107177442598929,0.9,7,733.86
2023-08-01,73,46,28,46,67,654,72,16763,4610,31,88,972.6,1.172281365490117,0.95,8,923.97
2023-08-02,28,50,57,47,55,743,42,8096,1026,93,81,246.4,1.0517072497376931,0.95,8,234.07999999999998
2023-08-03,36,46,37,42,86,509,353,13993,1527,54,79,346.0,1.1601211255273864,0.95,8,328.7
2023-08-04,70,38,25,49,50,193,359,11860,878,63,99,226.8,1.049778084789386,0.95,8,215.46
2023-08-05,29,51,47,89,89,720,274,25316,1584,36,60,362.6,0.9313212716037014,0.95,8,344.47
2023-08-06,92,46,43,89,79,387,277,14005,3637,34,91,791.0,0.9860185090839627,0.95,8,751.4499999999999
2023-08-07,96,58,52,74,56,877,200,29395,1540,36,83,370.2,1.01547169932902,0.95,8,351.69
2023-08-08,51,64,38,41,73,385,25,47620,4843,77,65,1012.8,1.0238015148554132,0.95,8,962.16
2023-08-09,24,46,33,88,52,226,158,28724,2766,37,89,602.6,0.9825986746702634,0.95,8,572.47
2023-08-10,78,31,17,63,95,570,143,27911,2121,65,88,476.2,0.832793043794262,0.95,8,452.39
2023-08-11,28,37,62,57,53,887,71,47722,4215,87,90,885.4,1.1722928222814584,0.95,8,841.13
2023-08-12,67,53,27,54,73,811,75,49105,3386,98,89,729.8,1.02289412497033,0.95,8,693.31
2023-08-13,34,41,67,80,74,663,165,30944,4005,89,67,845.4,1.1162877474846071,0.95,8,803.13
2023-08-14,78,57,40,65,97,484,433,31406,2352,39,82,526.8,0.9681522542215796,0.95,8,500.4599999999999
2023-08-15,41,77,36,73,56,898,408,26890,3686,69,72,789.8,0.9547353216819147,0.95,8,750.31
2023-08-16,99,87,41,65,88,844,60,38320,945,79,99,259.0,0.8101990622569735,0.95,8,246.04999999999998
2023-08-17,37,73,54,89,84,444,246,47556,1228,44,72,299.8,0.8305678630468131,0.95,8,284.81
2023-08-18,57,89,37,47,53,710,377,44473,1275,64,99,313.4,0.8538054067277714,0.95,8,297.72999999999996
2023-08-19,43,58,71,78,65,664,481,42422,4696,23,96,994.2,0.8283094449127731,0.95,8,944.49
2023-08-20,72,42,66,86,60,993,438,48632,2342,82,62,520.8,1.1312405331697701,0.95,8,494.75999999999993
2023-08-21,50,68,79,50,86,160,136,10917,2925,72,97,638.0,1.1698851701560904,0.95,8,606.1
2023-08-22,92,30,57,42,85,684,339,27810,1948,77,66,435.6,0.8934445059908747,0.95,8,413.82
2023-08-23,29,70,49,61,76,136,238,37517,1404,22,99,332.6,0.9717797091690862,0.95,8,315.97
2023-08-24,30,35,34,71,55,161,358,39304,3938,38,89,832.6,1.135804664986551,0.95,8,790.97
2023-08-25,37,53,32,75,75,544,447,4137,2599,82,93,571.4,1.1584801600070054,0.95,8,542.8299999999999
2023-08-26,56,61,57,76,67,695,145,33771,3566,67,85,768.8,1.1949218906366388,0.95,8,730.3599999999999
2023-08-27,58,39,59,86,51,716,422,30947,3450,40,67,740.0,1.1450786557535637,0.95,8,703.0
2023-08-28,98,46,43,44,61,752,99,10949,3447,71,79,742.8,0.9523484040484772,0.95,8,705.66
2023-08-29,37,78,65,82,68,659,247,42840,1977,50,79,450.6,1.1773266621599758,0.95,8,428.07
2023-08-30,99,31,40,47,72,233,246,32712,2630,58,98,581.0,1.0521189644224265,0.95,8,551.9499999999999
2023-08-31,54,35,22,79,75,220,280,17669,3191,88,96,691.0,1.132346131919964,0.95,8,656.4499999999999
2023-09-01,48,59,31,66,56,873,99,8174,3991,94,73,847.4,1.1738819643225338,1.3,9,1101.6200000000001
2023-09-02,30,69,63,85,61,378,204,29754,3853,45,60,819.4,1.0534391803240122,1.3,9,1065.22
2023-09-03,95,71,37,75,64,393,209,44464,2362,57,89,538.4,1.089720631057184,1.3,9,699.92
2023-09-04,27,55,35,92,55,177,314,41851,3911,56,96,836.2,0.828293374769886,1.3,9,1087.0600000000002
2023-09-05,20,71,22,74,79,597,55,39976,4921,49,93,1035.8,0.9127176510371997,1.3,9,1346.54
2023-09-06,87,31,38,63,69,273,357,22349,4573,90,74,965.6,1.1605084349526569,1.3,9,1255.28
