date,trend_type,popularity_score,search_volume
2023-05-07,vegan_cake,21.3,2576
2023-05-07,traditional_cake,76.4,7861
2023-05-07,premium_cake,49.7,5083
2023-05-14,healthy_cake,44.7,4540
2023-05-14,sugar_free,37.6,3378
2023-05-14,vegan_cake,24.9,2560
2023-05-14,traditional_cake,74.0,6870
2023-05-14,premium_cake,56.6,5799
2023-05-21,healthy_cake,39.4,3985
2023-05-21,sugar_free,36.7,3195
2023-05-21,vegan_cake,20.7,1477
2023-05-21,traditional_cake,79.4,7875
2023-05-21,premium_cake,54.1,5600
2023-05-28,healthy_cake,44.6,4254
2023-05-28,sugar_free,38.7,3482
2023-05-28,vegan_cake,25.2,2881
2023-05-28,traditional_cake,76.3,7674
2023-05-28,premium_cake,50.9,3818
2023-06-04,healthy_cake,44.4,3644
2023-06-04,sugar_free,39.9,3959
2023-06-04,vegan_cake,24.4,2593
2023-06-04,traditional_cake,77.0,8189
2023-06-04,premium_cake,56.0,6134
2023-06-11,healthy_cake,44.2,4397
2023-06-11,sugar_free,37.8,4169
2023-06-11,vegan_cake,25.6,3203
2023-06-11,traditional_cake,78.1,8006
2023-06-11,premium_cake,53.1,5454
2023-06-18,healthy_cake,46.7,5413
2023-06-18,sugar_free,39.9,3662
2023-06-18,vegan_cake,23.1,2806
2023-06-18,traditional_cake,71.6,6918
2023-06-18,premium_cake,58.0,6802
2023-06-25,healthy_cake,45.2,5368
2023-06-25,sugar_free,44.0,3999
2023-06-25,vegan_cake,25.2,2683
2023-06-25,traditional_cake,75.3,7548
2023-06-25,premium_cake,56.3,5789
2023-07-02,healthy_cake,45.3,3911
2023-07-02,sugar_free,44.5,4296
2023-07-02,vegan_cake,28.3,3059
2023-07-02,traditional_cake,75.6,7219
2023-07-02,premium_cake,56.0,4037
2023-07-09,healthy_cake,45.4,3486
2023-07-09,sugar_free,42.9,4984
2023-07-09,vegan_cake,28.5,3088
2023-07-09,traditional_cake,71.2,7305
2023-07-09,premium_cake,56.1,4462
2023-07-16,healthy_cake,48.2,4584
2023-07-16,sugar_free,48.7,5739
2023-07-16,vegan_cake,29.9,2896
2023-07-16,traditional_cake,71.1,7637
2023-07-16,premium_cake,56.8,5378
2023-07-23,healthy_cake,46.0,4100
2023-07-23,sugar_free,45.6,4580
2023-07-23,vegan_cake,27.0,2479
2023-07-23,traditional_cake,73.5,8103
2023-07-23,premium_cake,59.4,7211
2023-07-30,healthy_cake,45.1,5489
2023-07-30,sugar_free,44.3,5238
2023-07-30,vegan_cake,32.9,3726
2023-07-30,traditional_cake,72.7,7076
2023-07-30,premium_cake,57.2,5798
2023-08-06,healthy_cake,49.8,5224
2023-08-06,sugar_free,44.5,4863
2023-08-06,vegan_cake,29.5,3774
2023-08-06,traditional_cake,72.9,6981
2023-08-06,premium_cake,59.8,6442
2023-08-13,healthy_cake,51.4,5299
2023-08-13,sugar_free,46.9,4435
2023-08-13,vegan_cake,28.8,2406
2023-08-13,traditional_cake,72.8,7601
2023-08-13,premium_cake,59.7,5301
2023-08-20,healthy_cake,51.7,6088
2023-08-20,sugar_free,46.5,5267
2023-08-20,vegan_cake,29.5,4052
2023-08-20,traditional_cake,68.4,7039
2023-08-20,premium_cake,60.5,5380
2023-08-27,healthy_cake,49.4,4385
2023-08-27,sugar_free,49.6,4561
2023-08-27,vegan_cake,27.0,3243
2023-08-27,traditional_cake,69.4,7597
2023-08-27,premium_cake,56.9,6099
2023-09-03,healthy_cake,47.6,5091
2023-09-03,sugar_free,47.8,4534
2023-09-03,vegan_cake,34.2,3449
2023-09-03,traditional_cake,71.5,7116
2023-09-03,premium_cake,59.7,6359
2023-09-10,healthy_cake,50.1,4959
2023-09-10,sugar_free,44.9,5141
2023-09-10,vegan_cake,32.3,3430
2023-09-10,traditional_cake,71.2,8255
2023-09-10,premium_cake,60.7,6028
2023-09-17,healthy_cake,52.1,6192
2023-09-17,sugar_free,46.8,4641
2023-09-17,vegan_cake,29.7,2145
2023-09-17,traditional_cake,66.9,7510
2023-09-17,premium_cake,59.9,6426
2023-09-24,healthy_cake,54.6,5270
2023-09-24,sugar_free,48.0,4573
2023-09-24,vegan_cake,33.2,2996
2023-09-24,traditional_cake,69.6,6114
2023-09-24,premium_cake,62.8,6521
2023-10-01,healthy_cake,54.4,4926
2023-10-01,sugar_free,48.5,4813
2023-10-01,vegan_cake,35.2,3194
2023-10-01,traditional_cake,68.3,7378
2023-10-01,premium_cake,62.4,6360
2023-10-08,healthy_cake,55.2,5375
2023-10-08,sugar_free,50.1,4550
2023-10-08,vegan_cake,28.8,2969
2023-10-08,traditional_cake,71.6,7195
2023-10-08,premium_cake,59.8,5432
2023-10-15,healthy_cake,55.2,5733
2023-10-15,sugar_free,47.4,4332
2023-10-15,vegan_cake,35.1,2111
2023-10-15,traditional_cake,69.2,7035
2023-10-15,premium_cake,65.3,6312
2023-10-22,healthy_cake,56.0,5482
2023-10-22,sugar_free,50.0,5089
2023-10-22,vegan_cake,34.3,3405
2023-10-22,traditional_cake,67.4,6941
2023-10-22,premium_cake,63.4,7114
2023-10-29,healthy_cake,59.0,7077
2023-10-29,sugar_free,51.5,4926
2023-10-29,vegan_cake,33.4,3446
2023-10-29,traditional_cake,67.4,6835
2023-10-29,premium_cake,60.6,6194
2023-11-05,healthy_cake,53.5,5923
2023-11-05,sugar_free,55.2,5221
2023-11-05,vegan_cake,34.3,3568
2023-11-05,traditional_cake,65.8,6606
2023-11-05,premium_cake,64.1,6297
2023-11-12,healthy_cake,59.6,5996
2023-11-12,sugar_free,53.4,5475
2023-11-12,vegan_cake,35.4,3090
2023-11-12,traditional_cake,62.1,6377
2023-11-12,premium_cake,63.5,5315
2023-11-19,healthy_cake,59.9,5455
2023-11-19,sugar_free,54.5,4632
2023-11-19,vegan_cake,36.9,3531
2023-11-19,traditional_cake,69.7,6252
2023-11-19,premium_cake,67.0,6715
2023-11-26,healthy_cake,64.6,5189
2023-11-26,sugar_free,51.7,4669
2023-11-26,vegan_cake,40.3,3978
2023-11-26,traditional_cake,64.9,6345
2023-11-26,premium_cake,63.3,6448
2023-12-03,healthy_cake,58.7,6731
2023-12-03,sugar_free,57.5,5790
2023-12-03,vegan_cake,37.0,3807
2023-12-03,traditional_cake,62.8,6450
2023-12-03,premium_cake,65.7,7354
2023-12-10,healthy_cake,58.2,5995
2023-12-10,sugar_free,55.5,4571
2023-12-10,vegan_cake,36.2,3036
2023-12-10,traditional_cake,65.9,6145
2023-12-10,premium_cake,65.7,5905
2023-12-17,healthy_cake,57.8,5514
2023-12-17,sugar_free,55.8,6195
2023-12-17,vegan_cake,39.3,4079
2023-12-17,traditional_cake,66.5,6555
2023-12-17,premium_cake,71.4,7000
2023-12-24,healthy_cake,61.0,6955
2023-12-24,sugar_free,57.7,6372
2023-12-24,vegan_cake,39.1,4183
2023-12-24,traditional_cake,60.8,6686
2023-12-24,premium_cake,67.6,7007
2023-12-31,healthy_cake,63.1,6731
2023-12-31,sugar_free,59.8,6090
2023-12-31,vegan_cake,37.6,4643
2023-12-31,traditional_cake,64.1,6673
2023-12-31,premium_cake,68.0,6531
2024-01-07,healthy_cake,63.3,6096
2024-01-07,sugar_free,57.2,5586
2024-01-07,vegan_cake,40.5,3597
2024-01-07,traditional_cake,65.1,7301
2024-01-07,premium_cake,69.6,6703
2024-01-14,healthy_cake,60.6,6092
2024-01-14,sugar_free,62.8,6564
2024-01-14,vegan_cake,40.2,3370
2024-01-14,traditional_cake,64.0,6332
2024-01-14,premium_cake,67.8,6434
2024-01-21,healthy_cake,60.3,5975
2024-01-21,sugar_free,59.3,6127
2024-01-21,vegan_cake,38.3,3094
2024-01-21,traditional_cake,59.8,6124
2024-01-21,premium_cake,69.2,7291
2024-01-28,healthy_cake,63.3,5802
2024-01-28,sugar_free,57.0,5808
2024-01-28,vegan_cake,37.8,4199
2024-01-28,traditional_cake,61.9,6330
2024-01-28,premium_cake,64.6,6984
2024-02-04,healthy_cake,64.7,6256
2024-02-04,sugar_free,61.7,5777
2024-02-04,vegan_cake,41.1,3753
2024-02-04,traditional_cake,59.5,5644
2024-02-04,premium_cake,68.9,6554
2024-02-11,healthy_cake,65.2,7140
2024-02-11,sugar_free,61.8,6262
2024-02-11,vegan_cake,41.1,3000
2024-02-11,traditional_cake,61.4,5712
2024-02-11,premium_cake,74.3,6862
2024-02-18,healthy_cake,63.1,7322
2024-02-18,sugar_free,65.6,7370
2024-02-18,vegan_cake,43.8,5206
2024-02-18,traditional_cake,62.1,5557
2024-02-18,premium_cake,70.3,7857
2024-02-25,healthy_cake,64.3,5640
2024-02-25,sugar_free,60.8,6077
2024-02-25,vegan_cake,39.0,4136
2024-02-25,traditional_cake,60.8,6697
2024-02-25,premium_cake,70.4,6982
2024-03-03,healthy_cake,66.1,6982
2024-03-03,sugar_free,65.2,6393
2024-03-03,vegan_cake,44.5,4510
2024-03-03,traditional_cake,62.6,5984
2024-03-03,premium_cake,70.6,6367
2024-03-10,healthy_cake,68.2,7038
2024-03-10,sugar_free,60.5,5540
2024-03-10,vegan_cake,45.0,4856
2024-03-10,traditional_cake,57.8,5783
2024-03-10,premium_cake,71.0,6920
2024-03-17,healthy_cake,68.4,7306
2024-03-17,sugar_free,63.2,5820
2024-03-17,vegan_cake,44.9,4786
2024-03-17,traditional_cake,56.2,5343
2024-03-17,premium_cake,68.2,7113
2024-03-24,healthy_cake,74.4,8223
2024-03-24,sugar_free,64.7,6052
2024-03-24,vegan_cake,45.3,4502
2024-03-24,traditional_cake,61.7,5250
2024-03-24,premium_cake,74.3,6638
2024-03-31,healthy_cake,69.6,7754
2024-03-31,sugar_free,66.6,6084
2024-03-31,vegan_cake,44.6,4839
2024-03-31,traditional_cake,53.7,5043
2024-03-31,premium_cake,73.0,8283
2024-04-07,healthy_cake,72.9,6840
2024-04-07,sugar_free,64.5,7029
2024-04-07,vegan_cake,46.6,3983
2024-04-07,traditional_cake,54.9,5567
2024-04-07,premium_cake,72.9,7118
2024-04-14,healthy_cake,67.6,6711
2024-04-14,sugar_free,64.3,6960
2024-04-14,vegan_cake,46.8,4050
2024-04-14,traditional_cake,56.5,6180
2024-04-14,premium_cake,77.6,7377
2024-04-21,healthy_cake,71.9,6665
2024-04-21,sugar_free,68.2,7183
2024-04-21,vegan_cake,46.0,4337
2024-04-21,traditional_cake,54.9,6070
2024-04-21,premium_cake,76.1,7966
2024-04-28,healthy_cake,75.1,8154
2024-04-28,sugar_free,69.1,7347
2024-04-28,vegan_cake,48.3,4032
2024-04-28,traditional_cake,56.9,5941
2024-04-28,premium_cake,75.4,7133
2024-05-05,healthy_cake,73.9,7042
2024-05-05,sugar_free,71.0,7224
2024-05-05,vegan_cake,45.6,4745
2024-05-05,traditional_cake,55.5,5777
2024-05-05,premium_cake,75.7,7231
2024-05-12,healthy_cake,73.3,6924
2024-05-12,sugar_free,70.4,6249
2024-05-12,vegan_cake,42.9,4336
2024-05-12,traditional_cake,55.3,5206
2024-05-12,premium_cake,77.8,8301
2024-05-19,healthy_cake,76.1,7557
2024-05-19,sugar_free,68.6,7127
2024-05-19,vegan_cake,48.2,4789
2024-05-19,traditional_cake,53.8,6483
2024-05-19,premium_cake,81.0,8347
2024-05-26,healthy_cake,74.8,7459
2024-05-26,sugar_free,68.1,7000
2024-05-26,vegan_cake,48.5,5214
2024-05-26,traditional_cake,54.9,5081
2024-05-26,premium_cake,80.2,8093
2024-06-02,healthy_cake,74.0,7464
2024-06-02,sugar_free,69.1,6535
2024-06-02,vegan_cake,52.7,4768
2024-06-02,traditional_cake,51.1,4397
2024-06-02,premium_cake,76.7,7839
2024-06-09,healthy_cake,78.5,8013
2024-06-09,sugar_free,72.7,7875
2024-06-09,vegan_cake,46.9,5167
2024-06-09,traditional_cake,60.6,6642
2024-06-09,premium_cake,81.1,7790
2024-06-16,healthy_cake,75.8,7302
2024-06-16,sugar_free,75.4,7677
2024-06-16,vegan_cake,47.9,4657
2024-06-16,traditional_cake,53.7,6200
2024-06-16,premium_cake,79.6,8852
2024-06-23,healthy_cake,73.5,7255
2024-06-23,sugar_free,73.3,7066
2024-06-23,vegan_cake,52.4,5272
2024-06-23,traditional_cake,54.4,5061
2024-06-23,premium_cake,77.2,8011
2024-06-30,healthy_cake,77.3,7373
2024-06-30,sugar_free,69.9,6557
2024-06-30,vegan_cake,49.9,4858
2024-06-30,traditional_cake,51.8,4750
2024-06-30,premium_cake,84.1,9111
2024-07-07,healthy_cake,76.9,7817
2024-07-07,sugar_free,76.0,7596
2024-07-07,vegan_cake,50.2,5461
2024-07-07,traditional_cake,48.3,6238
2024-07-07,premium_cake,82.1,7782
2024-07-14,healthy_cake,76.4,7586
2024-07-14,sugar_free,76.9,7545
2024-07-14,vegan_cake,50.7,4989
2024-07-14,traditional_cake,49.7,4258
2024-07-14,premium_cake,83.5,6908
2024-07-21,healthy_cake,74.9,6884
2024-07-21,sugar_free,74.4,7250
2024-07-21,vegan_cake,52.5,5141
2024-07-21,traditional_cake,50.3,4211
2024-07-21,premium_cake,83.1,9057
2024-07-28,healthy_cake,79.5,7813
2024-07-28,sugar_free,78.5,7073
2024-07-28,vegan_cake,49.5,5514
2024-07-28,traditional_cake,48.9,4640
2024-07-28,premium_cake,83.9,8635
2024-08-04,healthy_cake,78.0,7899
2024-08-04,sugar_free,75.3,7101
2024-08-04,vegan_cake,51.1,4690
2024-08-04,traditional_cake,48.9,5482
2024-08-04,premium_cake,81.9,8689
2024-08-11,healthy_cake,76.7,7961
2024-08-11,sugar_free,80.3,7238
2024-08-11,vegan_cake,53.2,4401
2024-08-11,traditional_cake,47.9,4334
2024-08-11,premium_cake,84.9,8862
2024-08-18,healthy_cake,81.1,6771
2024-08-18,sugar_free,78.2,7400
2024-08-18,vegan_cake,53.2,5298
2024-08-18,traditional_cake,47.0,4178
2024-08-18,premium_cake,83.4,8016
2024-08-25,healthy_cake,79.4,9069
2024-08-25,sugar_free,80.2,7825
2024-08-25,vegan_cake,53.1,5185
2024-08-25,traditional_cake,47.7,4034
2024-08-25,premium_cake,83.6,8156
2024-09-01,healthy_cake,82.9,8639
2024-09-01,sugar_free,79.4,8241
2024-09-01,vegan_cake,55.1,5430
2024-09-01,traditional_cake,46.7,3958
2024-09-01,premium_cake,84.5,7995
2024-09-08,healthy_cake,83.1,8136
2024-09-08,sugar_free,78.3,8283
2024-09-08,vegan_cake,53.0,4105
2024-09-08,traditional_cake,44.7,4681
2024-09-08,premium_cake,86.6,8821
2024-09-15,healthy_cake,82.4,8341
2024-09-15,sugar_free,83.7,8227
2024-09-15,vegan_cake,51.2,5432
2024-09-15,traditional_cake,45.5,4538
2024-09-15,premium_cake,85.0,8610
2024-09-22,healthy_cake,86.8,8931
2024-09-22,sugar_free,84.0,8471
2024-09-22,vegan_cake,54.2,5208
2024-09-22,traditional_cake,46.9,4589
2024-09-22,premium_cake,87.2,8529
2024-09-29,healthy_cake,84.2,8654
2024-09-29,sugar_free,79.3,7656
2024-09-29,vegan_cake,53.8,5110
2024-09-29,traditional_cake,47.4,4104
2024-09-29,premium_cake,86.5,8456
2024-10-06,healthy_cake,88.0,9102
2024-10-06,sugar_free,82.6,8205
2024-10-06,vegan_cake,55.4,5199
2024-10-06,traditional_cake,44.4,4280
2024-10-06,premium_cake,86.7,9082
2024-10-13,healthy_cake,84.4,8726
2024-10-13,sugar_free,82.8,8738
2024-10-13,vegan_cake,59.4,6052
2024-10-13,traditional_cake,47.7,4383
2024-10-13,premium_cake,88.4,8657
2024-10-20,healthy_cake,86.9,8765
2024-10-20,sugar_free,82.3,9306
2024-10-20,vegan_cake,58.0,4751
2024-10-20,traditional_cake,45.5,4572
2024-10-20,premium_cake,89.1,9518
2024-10-27,healthy_cake,86.9,8347
2024-10-27,sugar_free,82.8,8463
2024-10-27,vegan_cake,57.2,5676
2024-10-27,traditional_cake,40.6,4162
2024-10-27,premium_cake,87.9,8235
2024-11-03,healthy_cake,85.8,9224
2024-11-03,sugar_free,84.2,8142
2024-11-03,vegan_cake,58.7,4694
2024-11-03,traditional_cake,44.1,4249
2024-11-03,premium_cake,88.8,9405
2024-11-10,healthy_cake,90.1,9192
2024-11-10,sugar_free,88.1,8547
2024-11-10,vegan_cake,57.2,5884
2024-11-10,traditional_cake,44.5,5328
2024-11-10,premium_cake,92.4,9643
2024-11-17,healthy_cake,87.5,8426
2024-11-17,sugar_free,89.8,9728
2024-11-17,vegan_cake,56.5,5631
2024-11-17,traditional_cake,43.0,4493
2024-11-17,premium_cake,90.3,9882
2024-11-24,healthy_cake,90.1,9182
2024-11-24,sugar_free,87.0,8358
2024-11-24,vegan_cake,57.1,5147
2024-11-24,traditional_cake,39.1,3750
2024-11-24,premium_cake,91.3,8783
2024-12-01,healthy_cake,90.8,8802
2024-12-01,sugar_free,88.9,8631
2024-12-01,vegan_cake,62.6,5468
2024-12-01,traditional_cake,46.0,4761
2024-12-01,premium_cake,90.6,8614
2024-12-08,healthy_cake,90.8,8652
2024-12-08,sugar_free,86.4,8355
2024-12-08,vegan_cake,58.9,5416
2024-12-08,traditional_cake,40.5,4040
2024-12-08,premium_cake,93.2,9913
2024-12-15,healthy_cake,91.9,8909
2024-12-15,sugar_free,89.5,9315
2024-12-15,vegan_cake,62.2,6450
2024-12-15,traditional_cake,37.7,3834
2024-12-15,premium_cake,87.0,8352
2024-12-22,healthy_cake,89.7,9284
2024-12-22,sugar_free,90.6,9177
2024-12-22,vegan_cake,59.9,6503
2024-12-22,traditional_cake,43.6,4158
2024-12-22,premium_cake,87.9,8773
2024-12-29,healthy_cake,95.1,8316
2024-12-29,sugar_free,90.9,8194
2024-12-29,vegan_cake,61.4,5665
2024-12-29,traditional_cake,40.4,3927
2024-12-29,premium_cake,92.6,9017
2025-01-05,healthy_cake,91.8,9007
2025-01-05,sugar_free,89.9,8704
2025-01-05,vegan_cake,58.4,5462
2025-01-05,traditional_cake,38.8,3870
2025-01-05,premium_cake,92.0,8796
2025-01-12,healthy_cake,93.4,9646
2025-01-12,sugar_free,91.2,8882
2025-01-12,vegan_cake,61.4,6780
2025-01-12,traditional_cake,39.8,3953
2025-01-12,premium_cake,91.3,9149
2025-01-19,healthy_cake,97.5,9786
2025-01-19,sugar_free,90.7,9617
2025-01-19,vegan_cake,65.6,6147
2025-01-19,traditional_cake,42.3,4308
2025-01-19,premium_cake,93.9,9568
2025-01-26,healthy_cake,92.3,9001
2025-01-26,sugar_free,93.4,9537
2025-01-26,vegan_cake,66.1,5846
2025-01-26,traditional_cake,35.3,2952
2025-01-26,premium_cake,92.2,9128
2025-02-02,healthy_cake,93.1,10055
2025-02-02,sugar_free,95.9,10710
2025-02-02,vegan_cake,62.5,6368
2025-02-02,traditional_cake,37.8,2428
2025-02-02,premium_cake,94.3,9175
2025-02-09,healthy_cake,93.7,9485
2025-02-09,sugar_free,96.3,9684
2025-02-09,vegan_cake,62.9,6936
2025-02-09,traditional_cake,37.4,4139
2025-02-09,premium_cake,95.4,8680
2025-02-16,healthy_cake,94.9,9974
2025-02-16,sugar_free,94.7,9864
2025-02-16,vegan_cake,64.3,6691
2025-02-16,traditional_cake,37.8,3735
2025-02-16,premium_cake,93.8,8930
2025-02-23,healthy_cake,98.5,9692
2025-02-23,sugar_free,94.7,8846
2025-02-23,vegan_cake,65.1,7783
2025-02-23,traditional_cake,37.9,3215
2025-02-23,premium_cake,94.4,9263
2025-03-02,healthy_cake,98.3,9557
2025-03-02,sugar_free,97.0,9803
2025-03-02,vegan_cake,63.4,6901
2025-03-02,traditional_cake,32.5,2600
2025-03-02,premium_cake,96.9,9225
2025-03-09,healthy_cake,94.5,10410
2025-03-09,sugar_free,100.0,9911
2025-03-09,vegan_cake,64.0,6083
2025-03-09,traditional_cake,34.0,2815
2025-03-09,premium_cake,97.5,10112
2025-03-16,healthy_cake,100.0,10180
2025-03-16,sugar_free,98.6,9943
2025-03-16,vegan_cake,66.6,6620
2025-03-16,traditional_cake,34.6,2417
2025-03-16,premium_cake,93.3,9531
2025-03-23,healthy_cake,100.0,9627
2025-03-23,sugar_free,100.0,9883
2025-03-23,vegan_cake,68.5,7073
2025-03-23,traditional_cake,34.8,3407
2025-03-23,premium_cake,95.2,9731
2025-03-30,healthy_cake,98.2,9527
2025-03-30,sugar_free,95.0,9669
2025-03-30,vegan_cake,67.9,6981
2025-03-30,traditional_cake,31.3,3028
2025-03-30,premium_cake,96.6,9698
2025-04-06,healthy_cake,100.0,10208
2025-04-06,sugar_free,97.3,10057
2025-04-06,vegan_cake,68.3,6832
2025-04-06,traditional_cake,35.2,4714
2025-04-06,premium_cake,99.1,10581
2025-04-13,healthy_cake,100.0,9740
2025-04-13,sugar_free,100.0,9798
2025-04-13,vegan_cake,68.1,6657
2025-04-13,traditional_cake,33.9,3355
2025-04-13,premium_cake,98.6,9724
2025-04-20,healthy_cake,100.0,10191
2025-04-20,sugar_free,98.4,9540
2025-04-20,vegan_cake,65.8,7144
2025-04-20,traditional_cake,30.9,3912
2025-04-20,premium_cake,100.0,9599
2025-04-27,healthy_cake,99.2,10275
2025-04-27,sugar_free,99.9,9981
2025-04-27,vegan_cake,71.8,7519
2025-04-27,traditional_cake,29.8,3271
2025-04-27,premium_cake,96.9,9578
2025-05-04,healthy_cake,100.0,9981
2025-05-04,sugar_free,100.0,10336
2025-05-04,vegan_cake,67.7,6518
2025-05-04,traditional_cake,31.3,3483
2025-05-04,premium_cake,100.0,10280
2025-05-11,healthy_cake,100.0,8986
2025-05-11,sugar_free,100.0,11176
2025-05-11,vegan_cake,69.9,6760
2025-05-11,traditional_cake,33.7,2413
2025-05-11,premium_cake,99.2,9609
2025-05-18,healthy_cake,100.0,9460
2025-05-18,sugar_free,100.0,10333
2025-05-18,vegan_cake,75.6,7022
2025-05-18,traditional_cake,31.2,2622
2025-05-18,premium_cake,100.0,10308
2025-05-25,healthy_cake,100.0,10577
2025-05-25,sugar_free,100.0,10308
2025-05-25,vegan_cake,71.7,7681
2025-05-25,traditional_cake,36.1,3448
2025-05-25,premium_cake,100.0,10153
2025-06-01,healthy_cake,100.0,9416
2025-06-01,sugar_free,100.0,10668
2025-06-01,vegan_cake,70.8,7051
2025-06-01,traditional_cake,30.6,3354
2025-06-01,premium_cake,100.0,10849
2025-06-08,healthy_cake,100.0,10279
2025-06-08,sugar_free,100.0,10452
2025-06-08,vegan_cake,72.6,6664
2025-06-08,traditional_cake,31.9,3652
2025-06-08,premium_cake,100.0,9136
2025-06-15,healthy_cake,100.0,9743
2025-06-15,sugar_free,100.0,9932
2025-06-15,vegan_cake,76.4,7617
2025-06-15,traditional_cake,34.9,3539
2025-06-15,premium_cake,100.0,9913
2025-06-22,healthy_cake,100.0,10317
2025-06-22,sugar_free,100.0,9543
2025-06-22,vegan_cake,73.1,7603
2025-06-22,traditional_cake,30.6,3555
2025-06-22,premium_cake,100.0,9578
2025-06-29,healthy_cake,100.0,10843
2025-06-29,sugar_free,100.0,9970
2025-06-29,vegan_cake,72.6,7633
2025-06-29,traditional_cake,28.9,3117
2025-06-29,premium_cake,100.0,9627
2025-07-06,healthy_cake,100.0,8919
2025-07-06,sugar_free,100.0,9882
2025-07-06,vegan_cake,75.5,7574
2025-07-06,traditional_cake,28.8,2715
2025-07-06,premium_cake,100.0,10644
2025-07-13,healthy_cake,100.0,9781
2025-07-13,sugar_free,100.0,10315
2025-07-13,vegan_cake,73.0,6943
2025-07-13,traditional_cake,28.0,2099
2025-07-13,premium_cake,100.0,9950
2025-07-20,healthy_cake,100.0,9497
2025-07-20,sugar_free,100.0,10674
2025-07-20,vegan_cake,75.7,8183
2025-07-20,traditional_cake,29.6,2279
2025-07-20,premium_cake,100.0,8544
2025-07-27,healthy_cake,100.0,10049
2025-07-27,sugar_free,100.0,9041
2025-07-27,vegan_cake,77.1,7140
2025-07-27,traditional_cake,30.4,2417
2025-07-27,premium_cake,100.0,10635
2025-08-03,healthy_cake,100.0,10026
2025-08-03,sugar_free,100.0,9493
