date,trends_impact_score,seasonal_impact_factor,cost_pressure_index,demand_pressure_index,top_trending_category,kpop_trend_score,competitors_with_promotion,avg_competitor_quality,avg_tiramisu_competitor_price,avg_cheesecake_competitor_price,consumer_confidence,inflation_rate,price_recommendation_score,promotion_recommendation_score,market_attractiveness_score,should_increase_price,should_decrease_price,should_run_promotion,market_is_attractive
2024-04-13,52.6,1.1,44.87,1.01,character_ip,287,3,4.2,228000.0,180000.0,80.4,3.3,-100,60.3,90.8,False,True,True,True
2024-04-14,52.6,1.1,47.02,1.01,character_ip,287,1,4.3,215000.0,191000.0,79.9,3.59,-100,44.2,90.9,False,True,False,True
2024-04-15,51.8,1.1,46.68,1.01,character_ip,280,7,4.1,211000.0,166000.0,78.2,3.65,-100,92.5,90.6,False,True,True,True
2024-04-16,51.8,1.1,44.57,0.99,character_ip,280,5,4.0,209000.0,180000.0,76.7,3.45,-100,76.8,90.3,False,True,True,True
2024-04-17,51.8,1.1,46.2,1.01,character_ip,280,4,4.2,216000.0,179000.0,78.3,3.65,-100,68.5,90.6,False,True,True,True
2024-04-18,51.8,1.1,47.26,0.99,character_ip,280,4,4.2,203000.0,182000.0,76.0,3.24,-100,68.8,90.3,False,True,True,True
2024-04-19,51.8,1.1,48.37,0.98,character_ip,280,3,4.2,211000.0,180000.0,73.7,3.87,-100,61.0,90.1,False,True,True,True
2024-04-20,51.8,1.1,48.55,0.99,character_ip,280,3,4.2,220000.0,187000.0,76.7,3.59,-100,60.8,90.3,False,True,True,True
2024-04-21,51.8,1.1,45.78,0.99,character_ip,280,5,4.1,218000.0,186000.0,76.9,3.44,-100,76.8,90.3,False,True,True,True
2024-04-22,52.9,1.1,46.06,1.0,character_ip,305,3,4.2,206000.0,176000.0,79.7,3.53,-100,60.4,90.7,False,True,True,True
2024-04-23,52.9,1.1,46.66,1.01,character_ip,305,7,4.2,212000.0,180000.0,80.8,3.65,-100,92.3,90.9,False,True,True,True
2024-04-24,52.9,1.1,46.65,1.0,character_ip,305,3,4.3,208000.0,184000.0,77.3,3.34,-100,60.4,90.7,False,True,True,True
2024-04-25,52.9,1.1,48.46,1.0,character_ip,305,6,4.1,180000.0,180000.0,78.8,3.67,-100,84.3,90.8,False,True,True,True
2024-04-26,52.9,1.1,47.37,1.0,character_ip,305,4,4.1,206000.0,170000.0,77.4,3.13,-100,68.5,90.7,False,True,True,True
2024-04-27,52.9,1.1,47.09,1.0,character_ip,305,4,4.2,208000.0,188000.0,78.4,3.9,-100,68.4,90.7,False,True,True,True
2024-04-28,52.9,1.1,46.08,1.0,character_ip,305,5,4.2,211000.0,188000.0,78.2,3.56,-100,76.3,90.8,False,True,True,True
2024-04-29,48.6,1.1,46.13,0.99,character_ip,262,5,4.1,200000.0,172000.0,74.1,3.48,-100,77.6,89.3,False,True,True,True
2024-04-30,48.6,1.1,48.15,1.01,character_ip,262,4,4.3,195000.0,169000.0,80.7,3.48,-100,69.1,89.8,False,True,True,True
2024-05-01,48.6,1.1,46.32,1.0,character_ip,262,8,4.0,189000.0,166000.0,76.6,3.43,-100,100.0,89.6,False,True,True,True
2024-05-02,48.6,1.1,45.83,1.0,character_ip,262,4,4.2,208000.0,171000.0,77.5,3.49,-100,69.3,89.6,False,True,True,True
2024-05-03,48.6,1.1,46.39,0.99,character_ip,262,3,4.1,205000.0,176000.0,76.6,3.83,-100,61.5,89.5,False,True,True,True
2024-05-04,48.6,1.1,47.36,1.0,character_ip,262,3,4.1,226000.0,184000.0,77.2,3.55,-100,61.4,89.5,False,True,True,True
2024-05-05,48.6,1.1,46.33,1.02,character_ip,262,4,4.2,214000.0,179000.0,80.5,3.56,-100,68.9,90.0,False,True,True,True
2024-05-06,49.9,1.1,47.58,0.99,character_ip,327,2,4.2,204000.0,178000.0,76.1,3.76,-100,53.3,89.7,False,True,False,True
2024-05-07,49.9,1.1,45.97,0.99,character_ip,327,6,4.2,200000.0,172000.0,75.2,3.53,-100,85.3,89.7,False,True,True,True
2024-05-08,49.9,1.1,46.98,0.99,character_ip,327,3,4.1,194000.0,170000.0,76.8,3.08,-100,61.2,89.8,False,True,True,True
2024-05-09,49.9,1.1,46.93,1.0,character_ip,327,2,4.1,195000.0,178000.0,77.7,3.39,-100,53.0,90.0,False,True,False,True
2024-05-10,49.9,1.1,48.51,1.0,character_ip,327,5,4.1,198000.0,168000.0,79.3,3.38,-100,77.0,90.0,False,True,True,True
2024-05-11,49.9,1.1,47.06,1.02,character_ip,327,7,4.2,206000.0,181000.0,80.4,3.69,-100,92.6,90.4,False,True,True,True
2024-05-12,49.9,1.1,46.28,1.0,character_ip,327,3,4.1,210000.0,168000.0,79.5,3.67,-100,61.0,90.0,False,True,True,True
2024-05-13,46.6,1.1,45.98,1.0,character_ip,272,3,4.2,199000.0,168000.0,79.3,3.48,-100,61.6,89.3,False,True,True,True
2024-05-14,46.6,1.1,48.92,1.0,character_ip,272,2,4.2,207000.0,170000.0,78.8,3.34,-100,53.7,89.1,False,True,False,True
2024-05-15,46.6,1.1,46.24,1.01,character_ip,272,7,4.1,195000.0,167000.0,80.8,3.41,-100,93.4,89.4,False,True,True,True
2024-05-16,46.6,1.1,48.4,0.97,character_ip,272,4,4.2,199000.0,162000.0,72.2,3.24,-100,70.3,88.5,False,True,True,True
2024-05-17,46.6,1.1,45.91,1.0,character_ip,272,4,4.1,199000.0,167000.0,79.0,3.53,-100,69.6,89.2,False,True,True,True
2024-05-18,46.6,1.1,47.78,1.0,character_ip,272,2,4.2,204000.0,179000.0,78.8,3.82,-100,53.7,89.1,False,True,False,True
2024-05-19,46.6,1.1,47.47,1.0,character_ip,272,4,4.2,205000.0,175000.0,77.5,3.91,-100,69.7,89.1,False,True,True,True
2024-05-20,45.4,1.1,48.07,1.0,character_ip,240,4,4.0,196000.0,171000.0,78.3,3.47,-100,70.0,88.8,False,True,True,True
2024-05-21,45.4,1.1,46.47,1.0,character_ip,240,9,4.1,181000.0,160000.0,77.8,3.42,-100,100.0,88.9,False,True,True,True
2024-05-22,45.4,1.1,47.01,1.01,character_ip,240,3,4.1,199000.0,152000.0,80.5,3.49,-100,61.7,89.1,False,True,True,True
2024-05-23,45.4,1.1,48.19,0.99,character_ip,240,4,4.1,193000.0,163000.0,76.2,3.31,-100,70.1,88.6,False,True,True,True
2024-05-24,45.4,1.1,47.81,1.0,character_ip,240,2,4.2,196000.0,171000.0,76.5,3.56,-100,54.0,88.8,False,True,False,True
2024-05-25,45.4,1.1,47.68,1.0,character_ip,240,6,4.2,200000.0,175000.0,78.1,3.66,-100,86.0,88.8,False,True,True,True
2024-05-26,45.4,1.1,47.41,1.0,character_ip,240,0,4.1,204000.0,176000.0,78.3,3.44,-100,37.8,88.9,False,True,False,True
2024-05-27,45.8,1.1,46.94,1.01,character_ip,249,3,4.1,188000.0,165000.0,81.1,3.6,-100,61.5,89.3,False,True,True,True
2024-05-28,45.8,1.1,47.41,0.99,character_ip,249,4,4.2,194000.0,162000.0,76.1,3.59,-100,70.0,88.8,False,True,True,True
2024-05-29,45.8,1.1,47.44,0.99,character_ip,249,3,4.2,199000.0,158000.0,74.7,3.39,-100,62.2,88.6,False,True,True,True
2024-05-30,45.8,1.1,47.68,1.0,character_ip,249,3,4.1,195000.0,160000.0,77.3,3.43,-100,61.9,88.8,False,True,True,True
2024-05-31,45.8,1.1,45.25,1.0,character_ip,249,3,4.2,190000.0,156000.0,79.6,3.38,-100,61.9,88.9,False,True,True,True
2024-06-01,45.8,1.2,45.63,1.0,character_ip,249,4,4.2,199000.0,160000.0,77.7,3.54,-100,66.9,91.4,False,True,True,True
2024-06-02,45.8,1.2,48.34,1.0,character_ip,249,2,4.0,202000.0,173000.0,78.2,3.46,-100,50.7,91.6,False,True,False,True
2024-06-03,45.0,1.2,45.98,1.0,character_ip,288,3,4.1,194000.0,162000.0,78.6,3.53,-100,58.9,91.3,False,True,False,True
2024-06-04,45.0,1.2,46.19,1.02,character_ip,288,6,4.2,181000.0,150000.0,81.5,3.4,-100,82.6,91.7,False,True,True,True
2024-06-05,45.0,1.2,46.69,1.0,character_ip,288,2,4.1,196000.0,156000.0,79.9,3.6,-100,50.9,91.4,False,True,False,True
2024-06-06,45.0,1.2,49.72,1.01,character_ip,288,4,4.1,187000.0,161000.0,80.7,3.55,-100,66.7,91.5,False,True,True,True
2024-06-07,45.0,1.2,46.98,0.99,character_ip,288,2,4.2,188000.0,164000.0,76.4,3.69,-100,51.1,91.1,False,True,False,True
2024-06-08,45.0,1.2,48.54,1.0,character_ip,288,4,4.1,199000.0,158000.0,78.2,3.23,-100,66.9,91.3,False,True,True,True
2024-06-09,45.0,1.2,47.45,1.0,character_ip,288,0,4.1,197000.0,165000.0,77.8,3.37,-100,35.0,91.3,False,True,False,True
2024-06-10,41.8,1.2,48.45,0.99,character_ip,223,3,4.2,188000.0,158000.0,76.1,4.05,-100,60.0,90.1,False,True,False,True
2024-06-11,41.8,1.2,47.43,1.02,character_ip,223,3,4.1,178000.0,157000.0,81.8,3.37,-100,59.1,90.9,False,True,False,True
2024-06-12,41.8,1.2,48.84,0.99,character_ip,223,4,4.1,175000.0,151000.0,76.7,3.57,-100,67.9,90.2,False,True,True,True
2024-06-13,41.8,1.2,47.32,0.98,character_ip,223,7,4.2,188000.0,151000.0,73.2,3.87,-100,92.1,90.0,False,True,True,True
2024-06-14,41.8,1.2,46.85,0.98,character_ip,223,4,4.3,183000.0,158000.0,73.5,3.57,-100,68.0,90.1,False,True,True,True
2024-06-15,41.8,1.2,48.07,0.99,character_ip,223,3,4.1,189000.0,162000.0,76.7,3.49,-100,59.9,90.2,False,True,False,True
2024-06-16,41.8,1.2,44.77,1.01,character_ip,223,9,4.2,176000.0,164000.0,79.9,3.56,-100,100.0,90.7,False,True,True,True
2024-06-17,41.0,1.2,48.82,0.99,character_ip,222,6,4.1,180000.0,155000.0,76.6,3.71,-100,83.9,90.1,False,True,True,True
2024-06-18,41.0,1.2,46.75,1.01,character_ip,222,2,4.1,182000.0,148000.0,80.2,3.29,-100,51.5,90.5,False,True,False,True
2024-06-19,41.0,1.2,47.1,1.0,character_ip,222,2,4.2,187000.0,154000.0,76.6,3.28,-100,51.8,90.3,False,True,False,True
2024-06-20,41.0,1.2,47.12,0.99,character_ip,222,4,4.3,180000.0,150000.0,76.2,3.87,-100,68.1,89.9,False,True,True,True
2024-06-21,41.0,1.2,47.02,1.02,character_ip,222,6,4.2,175000.0,147000.0,80.8,3.84,-100,83.4,90.7,False,True,True,True
2024-06-22,41.0,1.2,48.27,1.01,character_ip,222,2,4.0,191000.0,155000.0,80.0,3.33,-100,51.5,90.5,False,True,False,True
2024-06-23,41.0,1.2,47.75,1.0,character_ip,222,5,4.1,194000.0,156000.0,78.2,3.65,-100,75.8,90.3,False,True,True,True
2024-06-24,39.8,1.2,47.27,1.01,character_ip,191,2,4.1,185000.0,150000.0,78.6,3.3,-100,51.8,90.1,False,True,False,True
2024-06-25,39.8,1.2,47.92,1.01,character_ip,191,3,4.2,178000.0,145000.0,78.6,3.45,-100,59.9,90.1,False,True,False,True
2024-06-26,39.8,1.2,47.12,0.99,character_ip,191,4,4.2,183000.0,146000.0,76.3,3.68,-100,68.2,89.8,False,True,True,True
2024-06-27,39.8,1.2,46.63,1.01,character_ip,191,2,4.1,182000.0,152000.0,79.0,3.72,-100,51.8,90.2,False,True,False,True
2024-06-28,39.8,1.2,45.74,1.01,character_ip,191,4,4.1,177000.0,152000.0,78.9,3.46,-100,67.9,90.1,False,True,True,True
2024-06-29,39.8,1.2,48.13,1.0,character_ip,191,2,4.2,190000.0,161000.0,78.0,3.45,-100,52.1,89.9,False,True,False,True
2024-06-30,39.8,1.2,47.04,1.0,character_ip,191,8,4.1,185000.0,152000.0,78.0,3.47,-100,100.0,89.9,False,True,True,True
2024-07-01,39.4,1.2,47.82,1.01,character_ip,141,2,4.2,178000.0,153000.0,78.8,3.39,-100,52.0,90.0,False,True,False,True
2024-07-02,39.4,1.2,47.09,1.0,character_ip,141,3,4.2,173000.0,154000.0,77.0,3.48,-100,60.2,89.8,False,True,True,True
